Title,Title_URL,Image,likes,comment,collect,share
四到五月正是松树花粉，采集的好时候，#你的家乡有这种植物吗 #松花粉#松树花,https://www.douyin.com/video/7366158354193845542,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/owAfFikoATq98BxiImWAfCAIBAiAXmNDgACcE8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=q3imm51jjgAeHJkR9ciOWe6Spp8%3D,2291,80,975,508
这个酸枣芽茶，很适合晚上喝，口感清香，#酸枣芽茶#酸枣芽茶制作,https://www.douyin.com/video/7346241982001450290,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oUoqBATD7GgbDrAe6AAe9IAJEAGMRQndxPsBeE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ca411KL2fotRiNG2pyIERI11TEc%3D,676,18,309,363
非常好用的标本集，让你不再是纸上谈兵，真的很方便#伤寒论标本集 #自学中医  #识百草,https://www.douyin.com/video/7376558477142936883,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oAAWzZdzGQCOwePnAQLAG67PCEe5MABII2AeBv~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=JN9FZ6%2BSc%2BzjR3i%2FqV1c93pdO7c%3D,131,9,46,9
桔梗是桔梗科的一种多年生草本：别名僧帽花，铃铛花。#你的家乡有这种植物吗 #桔梗 #识百草,https://www.douyin.com/video/7376389333135265051,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o4ye9mA6XCWEAMkNAAQAg6MfmdbgTFIDALDCqj~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2BVm4nKl4IcLz2MthFlf6kzRqzD0%3D,3408,182,2208,635
地黄，记得以前路边地头都能看见，很多人应该见过，但还不一定了解它#你的家乡还有这种植物吗   #识百草 #地黄,https://www.douyin.com/video/7374599672557604123,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813c001/oMf0XstAAACiA0g39RBTDmI1VEAuX19TeiaABS~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Gk3x87%2FlgjMDhuVb%2BVmV095G9tM%3D,2018,72,739,326
黄荆在农村很常见的一种植物，但真正了解它的人却很少。它的根，茎，叶，包括种子，均有很高的价值#你的家乡有这种植物吗 #黄荆#识百草,https://www.douyin.com/video/7373187772108049691,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oAEAZzOAjCMA4geL9LIABiiAIhB23LAsbfHtFD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Us01cP1zvO5NKe20u29GuX1P4Xk%3D,2722,208,1214,447
淫羊藿也叫仙灵皮：三支九叶草等……是小霍科属的一种多年生草本：它的根，茎，叶，均有价值#淫羊藿 #你的家乡有这种植物吗 #识百草,https://www.douyin.com/video/7372223751099813147,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/o4DqEDFuATG7wD5ZBADAIAse7ZMA8EBBAfEYfB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=9dLn9Yw3B6MwKCtzuf6%2BRRtqbmU%3D,3401,118,1766,583
这就是神农四宝之一的文王一之笔：学名：蛇菰，又叫顶天柱，回村草等#你的家乡有这种植物吗 #文王一支笔 #回春草 #识百草,https://www.douyin.com/video/7371627863952362789,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oII7NGMA1GSfiR0NMBEfsmWBHAAEBA8fQqBAQa~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=2Ddakyx9PN8lq9mp%2Fjk8dEQJacE%3D,24000,1452,8123,3949
它就是有这五谷之王的金荞麦，别名：苦桥头、开金锁等，如今已被列为二级保护植物#金荞麦 #你的家乡有这种植物吗 #大自然的馈赠,https://www.douyin.com/video/7370190238922181925,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oIE7nDARQDMAqfBfgEgAvG8AzkwRsBbFawAzne~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=oKzeGZTQ2al5ggqO385bSBlaGwk%3D,19000,4939,9754,5399
夏天到了，尤其是重油重盐的宝子们，常喝好处多多哦#苦荞茶#苦荞#大凉山苦荞茶,https://www.douyin.com/video/7369074086632279346,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/o83g4fXtA7zAF5Dm9d9CAw56OEIlEAFcABAXfD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=eGkyUG5WrHV2PQ3Sc3xWbm6caBE%3D,121,1,27,12
丹参这个名字可以说是家喻户晓，妇孺皆知，但不一定认识：丹参是唇形科鼠尾草属的一种多年生草本、#丹参 #紫丹参 #你的家乡有这种植物吗,https://www.douyin.com/video/7368290395605716250,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oMRAAbWBfg19nPAIAq9DAdCDbAQ8Egs3mF0eAB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=dTJGp4xx9%2B7ChhcBKoPBUvo7Q%2F8%3D,4763,206,3171,1069
这些中草药植物，你们都认识吗#一起识百草 #识百草 #中草药植物,https://www.douyin.com/video/7367590100500352306,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/ooCPAI5PjeBATAyAImDnV7bGQAsQgOqyADf7t9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=9L9vW%2F5lLEnVlSYPrzGHbAnEjyY%3D,4872,198,3597,1451
有了这套中草标本集，真的太方便了#学习工具#伤寒论标本集 #识百草 #自学中医,https://www.douyin.com/video/7367245498471796019,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/owhAID4NtsrEoOAejtHzLAftWAazdAgAAAAY9C~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=SYt0LeZJ9l1OXrWoQPEq7lGwZxg%3D,172,1,63,23
紫参其实就是我们这边常见的植物拳参：也叫草合车#紫参 #识百草 #中草药植物 #你的家乡有这种植物吗,https://www.douyin.com/video/7365358423887580467,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/ogQVAA3D9DbbeJAtAgAwxIANEAumJcnpm8nAeC~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=gUFVv2qgdypFMOwnd%2B7uaFREDIo%3D,15000,652,8651,2186
