"ngram"	"n"
"新 农 人 计划"	972
"抖 音 小 助手"	757
"农 人 计划 2023"	496
"有 这种 植物 吗"	377
"家乡 有 这种 植物"	369
"你的 家乡 有 这种"	367
"文化 文化 新 说"	311
"乡村 守 护 人"	298
"大 山里 的 原"	209
"山里 的 原 生态"	209
"大自然 的 馈赠 三"	201
"的 馈赠 三 农"	201
"传统 文化 文化 新"	190
"生活 大自然 的 馈赠"	185
"大自然 的 馈赠 植物"	178
"文化 中 医药 文化"	174
"的 馈赠 植物 科普"	169
"农 人 计划 2022"	168
"抖 音 创作 者"	168
"音 创作 者 中心"	168
"中心 dou 小 助手"	158
"创作 者 中心 dou"	158
"者 中心 dou 小"	158
"农 人 计划 2024"	150
"三 农 新 农"	139
"传统 文化 中 医药"	139
"农 新 农 人"	139
"大 山里 的 农村"	137
"山里 的 农村 生活"	137
"记录 大 山里 的"	137
"植物 科普 三 农"	135
"计划 抖 音 小"	133
"童年 经典 动画 片"	132
"吗 大自然 的 馈赠"	121
"中 医药 文化 文化"	118
"医药 文化 文化 新"	118
"农村 生活 大自然 的"	115
"中草药 植物 中 医药"	110
"助手 寒假 充电 计划"	110
"小 助手 寒假 充电"	110
"科普 大自然 的 馈赠"	110
"音 小 助手 寒假"	110
"植物 中 医药 文化"	109
"中 药材 知识 科普"	108
"文化 新 说 中"	108
"新 说 中 医药"	108
"乡村 生活 记录 视频"	107
"三 农 扶持 三"	106
"农 扶持 三 农"	106
"扶持 三 农 发展"	106
"支持 三 农 扶持"	106
"植物 科普 大自然 的"	106
"认识 多少 识 百草"	105
"文化 中 医药 故事"	102
"你 认识 多少 识"	101
"的 农村 生活 大自然"	98
"大自然 的 馈赠 我的"	94
"的 馈赠 我的 乡村"	94
"计划 充 能 计划"	94
"馈赠 我的 乡村 生活"	94
"你的 家乡 有 吗"	92
"原创 国 风 计划"	91
"科普 新 农 人"	91
"说 中 医药 文化"	90
"农 我的 乡村 生活"	89
"动画 解说 怀旧 动画"	89
"大家 一定 要 认识"	89
"三 农 我的 乡村"	88
"漫 计划 充 能"	88
"轻 漫 计划 充"	88
"中 医药 文化 中"	87
"医药 文化 中 医药"	87
"科普 我的 乡村 生活"	87
"植物 科普 我的 乡村"	86
"吗 新 农 人"	85
"三 农 大自然 的"	83
"中 医药 文化 进"	83
"医药 文化 进 校园"	83
"植物 科普 新 农"	83
"农 大自然 的 馈赠"	82
"国学 文化 中医 中药"	80
"文化 新 说 涨"	79
"新 说 涨 知识"	79
"抖 音 动 漫"	72
"抖出 家乡 山 货"	72
"充 能 计划 抖"	71
"能 计划 抖 音"	71
"人 计划 2022 抖"	70
"大自然 的 馈赠 农村"	70
"我的 乡村 生活 大自然"	70
"计划 2022 抖 音"	70
"dou 来 广东 百"	69
"来 广东 百 千万"	69
"乡村 生活 大自然 的"	68
"的 馈赠 农村 生活"	68
"你 认识 几 种"	67
"大自然 的 馈赠 新"	67
"小 故事 涨 知识"	66
"的 馈赠 新 农"	66
"馈赠 新 农 人"	66
"遗传 承 纪录 片"	65
"非 遗传 承 纪录"	65
"三 农 植物 科普"	64
"小 助手 抖 音"	64
"药 中草药 植物 科普"	64
"中草药 抖 音 创作"	63
"我的 乡村 生活 植物"	63
"新 农 人 2024"	63
"百草 中草药 抖 音"	61
"计划 轻 漫 计划"	61
"识 百草 中草药 抖"	61
"中 药材 抖 音"	60
"野生植物 大自然 的 馈赠"	60
"植物 抖 音 小"	59
"中草药 传承 中医 文化"	58
"承 纪录 片 解说"	58
"识 百草 中 药材"	57
"多少 识 百草 中草药"	56
"新 农村 计划 2022"	56
"片 解说 老 手艺"	56
"药材 抖 音 创作"	56
"三 农 中 药材"	55
"充 能 计划 轻"	55
"纪录 片 解说 老"	55
"能 计划 轻 漫"	55
"识 百草 植物 科普"	55
"一定 要 认识 一下"	54
"三 农 记录 真实"	54
"农 记录 真实 生活"	54
"国 风 计划 抖"	54
"风 计划 抖 音"	54
"入 药 中草药 植物"	53
"百草 大自然 的 馈赠"	53
"纪录 片 充电 计划"	53
"识 百草 大自然 的"	53
"这种 植物 吗 植物"	53
"采 药 人 野生"	53
"植物 吗 植物 科普"	52
"科普 一日 一 植物"	52
"药 人 野生 药材"	52
"三 农 嵩 医"	51
"三 农 记录 大"	51
"农 记录 大 山里"	51
"植物 科普 一日 一"	51
"三 农 野生植物 大自然"	50
"乡村 生活 植物 科普"	50
"乡村 生活 药材 收购"	50
"农 野生植物 大自然 的"	50
"我的 乡村 生活 药材"	50
"经典 动画 片 动画"	50
"国产 动画 怀旧 动画"	49
"植物 科普 嵩 医"	49
"类 的 中 药材"	49
"叫 什么 名字 呢"	48
"漫 计划 抖 音"	48
"生活 我的 乡村 生活"	48
"轻 漫 计划 抖"	48
"中草药 三 农 新"	47
"抖 音 助 农"	47
"的 中 药材 在"	47
"真实 生活 三 农"	47
"记录 真实 生活 三"	47
"农村 生活 我的 乡村"	46
"叫 它 什么 名字"	46
"生活 三 农 种植"	46
"童年 动画 国产 动画"	46
"药材 采 药 人"	46
"计划 原创 国 风"	46
"音 小 助手 抖"	46
"人 新 农 人"	45
"用到 的 中 药材"	45
"一 植物 抖 音"	44
"一日 一 植物 抖"	44
"乡村 生活 三 农"	44
"乡村 生活 中 药材"	44
"动画 片 动画 解说"	44
"怀旧 动画 动画 解说"	44
"我的 乡村 生活 三"	44
"我的 乡村 生活 中"	44
"植物 科普 抖 音"	44
"的 馈赠 大 山里"	44
"馈赠 大 山里 的"	44
NA	44
"你 还 知道 哪些"	43
"动画 片 怀旧 动画"	43
"大自然 的 馈赠 大"	43
"植物 吗 大自然 的"	43
"百草 中 药材 抖"	43
