Title,Title_URL,Image,likes,comment,collect,share
带你认识20味中草药植物。#药材收购 #我的乡村生活 #中草药,https://www.douyin.com/video/7358439314037935396,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4Gmt90KNAGRK9segIeSH2CnxbEbTymDAABw8Q~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=B8B3tXfPELUjANSvc6wQczX4IOc%3D,41000,1842,34000,8115
带你认识四味中草药#三农 #我的乡村生活 #药材收购,https://www.douyin.com/video/7301653142209416511,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocEXFeBylqUrdfosMvhzugCACgAtArCjxIN8hl~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=c28TWyXa1YFCPt7Seg1vY2YpQHY%3D,21000,1730,12000,4468
朋友们，不要拿来喂猪喂牛喂羊了。#三农 #记录真实生活 #三农种植,https://www.douyin.com/video/7320570089575697676,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEuvwiAQDTnALEeeeqCUELxODnMB7BPZIs3Ybk~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=8Ugcc4NoiJuHbcjxWWfEAQRgHW8%3D,31000,1668,22000,9408
骨碎补，生于山谷的溪流旁岩石上或附生于树干上，海拔500一1400米。越南北部亦有之#三农,https://www.douyin.com/video/7371057096185416975,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/okCESam9wIt9AQjAEm0gkFDvFcfDABWeJQqL64~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=qSa5AH5bkaTmtkx%2FWQtZlqcAud0%3D,490,72,176,48
带你认识22种植物。 #中药材 #大自然的馈赠 #三农,https://www.douyin.com/video/7370668873256799523,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osUEF563Cn4JwIeJXpetAfID2ALNCKfbDTEZJ3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=thaGrTnli%2B7CkHDzz37jKyhkZi0%3D,252,9,115,14
世界上特别珍贵的三味中草药植物，你一定要认识一下 #三农 #中药材 #大自然的馈赠 #我的乡村生活 #中药材种植基地,https://www.douyin.com/video/7367308663708454179,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAp72fkeYIIED6CW4EeesxADQpnKjLAiiAbmH3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=8pSxWsHX%2Fx6Jz%2FoEVn3XQSC9ZXI%3D,141,6,58,14
地球上特别珍贵的三味中草药植物，你一定要认识一下#中药材 #大自然的馈赠 #我的乡村生活 #中药材种植基地 #三农,https://www.douyin.com/video/7367308602098437416,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osd9OUgHtAE3WgUTCzezuCBL8hACfAbs2vEIxL~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ppPeMsQM%2FzE8ILjq9LlGpNnSgmU%3D,227,9,87,14
地球上特别珍贵的三味中草药植物，你一定要认识一下#三农 #中药材 #大自然的馈赠 #我的乡村生活 #中药材种植基地,https://www.douyin.com/video/7367308516249357603,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYebfeAGABv2una0QQ8CHmtt0lDDeYoIAFE9IA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=IFNbl5dfWkhgPd%2FWV2CNH6AW46E%3D,109,1,36,10
地球上特别珍贵的三味中草药植物，你一定要认识一下#中药材 #大自然的馈赠 #中药材种植基地 #三农 #我的乡村生活,https://www.douyin.com/video/7366941503567973647,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oACzfBkTlAA7RoE8ECllhtVXCoHazIAaBASega~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=uhoD%2FNwS03sH62fYeCM7ql%2FeYnA%3D,355,10,192,40
地球上特别珍贵的三味中草药植物，你一定要认识一下 #大自然的馈赠 #三农 #中药材 #我的乡村生活 #中药材种植基地,https://www.douyin.com/video/7366939052274240820,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQY5Q5VDAPHefAf4IQyE24C9ACIEGguU2UevAI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=WAxFKauAZAHO1eUsGnvqdxwPTr4%3D,166,6,64,4
