"ngram"	"n"
"三 农"	1625
"抖 音"	1545
"植物 科普"	1500
"大自然 的"	1439
"的 馈赠"	1402
"中 药材"	1213
"农 人"	1161
"新 农"	1158
"人 计划"	972
"小 助手"	963
"乡村 生活"	847
"识 百草"	779
"音 小"	757
"我的 乡村"	714
"中 医药"	650
"一 植物"	624
"一日 一"	620
"家乡 有"	591
"你的 家乡"	588
"农村 生活"	581
"纪录 片"	558
"中草药 植物"	550
"传统 文化"	537
"这种 植物"	530
"计划 2023"	497
"涨 知识"	479
"植物 吗"	445
"医药 文化"	436
"你 认识"	423
"遗传 承"	419
"非 遗传"	419
"大 山里"	417
"片 解说"	413
"山里 的"	411
"有 这种"	409
"的 植物"	369
"采 药"	366
"药 人"	337
"常见 的"	336
"文化 新"	321
"新 说"	316
"守 护"	314
"文化 文化"	312
"护 人"	308
"养 生"	302
"嵩 医"	300
"乡村 守"	298
"文化 中"	281
"山 货"	272
"怀旧 动画"	272
"你 知道"	253
"的 中"	250
"一定 要"	243
"晓 参"	238
"百 晓"	237
"的 中草药"	235
"动画 解说"	232
"小 故事"	232
"野生 药材"	229
"原 生态"	226
"计划 2022"	226
"充电 计划"	224
"中医 文化"	223
"动画 动画"	216
"又 叫"	212
"的 原"	211
"轻 漫"	208
"漫 计划"	206
"dou 小"	204
"小 时候"	204
"童年 动画"	203
"馈赠 三"	202
"吃 过"	201
"音 自然"	195
"国产 动画"	194
"生活 大自然"	188
"认识 吗"	179
"馈赠 植物"	178
"创作 者"	176
"计划 抖"	176
"寒假 充电"	171
"有 吗"	170
"者 中心"	168
"音 创作"	168
"传承 中医"	166
"几 种"	164
"国学 文化"	161
"吗 植物"	160
"中心 dou"	158
"充 能"	158
"能 计划"	156
"经典 动画"	154
"要 认识"	154
"计划 2024"	150
"的 农村"	147
"中医 中药"	143
"农 新"	142
"知识 科普"	142
"见过 吗"	142
"动画 片"	140
"科普 三"	140
"植物 中"	137
"记录 大"	137
"茵 陈"	136
"老 手艺"	135
"什么 名字"	134
"童年 经典"	133
"过 吗"	133
"又 名"	131
