"ngram"	"n"
"的"	8793
"植物"	4324
"农"	2975
"人"	2643
"科普"	2206
"中"	2171
"吗"	2150
"中草药"	2089
"你"	1865
"药材"	1818
"文化"	1800
"计划"	1780
"三"	1754
"小"	1745
"生活"	1712
"新"	1571
"有"	1553
"抖"	1547
"音"	1547
"大自然"	1529
"动画"	1437
"馈赠"	1404
"草"	1328
"了"	1280
"乡村"	1279
"认识"	1178
"一"	1018
"知识"	1012
"是"	1005
"它"	1000
"农村"	982
"助手"	963
"药"	956
"家乡"	836
"识"	836
"百草"	825
"在"	814
"叫"	812
"中药"	799
"我的"	795
"这种"	795
"中医"	794
"大"	783
"故事"	781
"片"	771
"传统"	737
"解说"	655
"医药"	651
"吃"	648
"你的"	635
"一日"	622
"这"	569
"纪录"	561
"采"	561
"花"	556
"什么"	542
"又"	531
"2023"	525
"知道"	525
"大家"	522
"山"	511
"种"	510
"野生"	500
"你们"	497
"涨"	491
"非"	491
"用"	490
"山里"	484
"说"	482
"来"	481
"童年"	478
"参"	473
"这个"	470
"都"	468
"记录"	466
"本草"	462
"能"	450
"叶"	425
"常见"	421
"承"	420
"遗传"	419
"过"	408
"生"	407
"还"	407
"和"	400
"名"	397
"要"	397
"子"	394
"被"	390
"医"	387
"老"	387
"呢"	384
"我"	373
"货"	371
"却"	368
"一下"	365
"上"	364
"不"	362
"见过"	360
"就"	359
"养"	353
"漫"	342
"百"	335
"野生植物"	328
"野菜"	323
"护"	321
"名字"	320
"它的"	319
"守"	319
"传承"	314
"手艺"	314
"dou"	313
"价值"	313
"一种"	312
"国学"	308
"嵩"	301
"黄"	301
"一定"	298
"中国"	284
"也"	278
"创作"	277
"可以"	275
"这些"	274
"地"	273
"怀旧"	273
"时候"	271
"健康"	267
"很多"	264
"树"	254
"个"	252
"好"	250
"之"	249
"自然"	249
"我们"	246
"晓"	245
"2022"	243
"为什么"	241
"果"	241
"生态"	240
"里"	239
"野"	239
"原"	238
"就是"	237
"没有"	235
"看看"	235
"朋友"	234
"今天"	232
"一个"	229
"野外"	228
"国产"	227
"分享"	225
"长"	225
"充电"	224
"视频"	223
"带"	221
"2024"	220
"科"	217
"很"	216
"轻"	214
"多少"	211
"会"	210
"美食"	210
"下"	209
"着"	209
"怎么"	207
"者"	207
"菜"	207
"为"	206
"白"	206
"年"	204
"吧"	202
"香"	202
"几"	200
"藤"	199
"宝"	198
"最"	198
"茶"	193
"天"	190
"节"	190
"金"	190
"土"	189
"让"	188
"可"	187
"哪些"	187
"看"	187
"根"	183
"都是"	182
"风"	182
"水"	181
"把"	179
"原创"	176
"了解"	175
"寒假"	173
"给"	173
"后"	172
"他"	170
"中心"	169
"多"	169
"智慧"	168
"经典"	168
"头"	167
"经常"	167
"还有"	167
"国"	164
"神奇"	164
"充"	163
"春天"	160
"龙"	160
"味道"	157
"挖"	157
"做"	156
"乌"	155
"像"	155
"实"	155
"种植"	155
"遇到"	152
"喜欢"	151
"干"	151
"陈"	151
"黄精"	147
"好物"	145
"现在"	145
"鸡"	145
"蛇"	144
"但"	142
"拍"	142
"点"	141
"动"	140
"原来"	140
"两"	139
"男人"	138
"人参"	137
"扶持"	137
"没"	137
"进"	137
"也是"	136
"茵"	136
"贵"	136
"非常"	135
"回忆"	133
"牛"	133
"红"	133
"补"	130
"入"	127
"竹"	127
"这么"	126
"推荐"	123
"千万"	122
"支持"	122
"酸"	121
"冬"	120
"村里"	120
"一起"	119
"传说"	118
"到"	117
"您"	117
"制作"	116
"去"	116
"味"	116
"母"	116
"老人"	116
"自己"	114
"四"	113
"草本植物"	113
"麻"	113
"喝"	112
"学"	112
"当"	112
"发现"	111
"对"	111
"将"	111
"真实"	111
"为了"	110
"发展"	110
"菌"	110
"这样"	110
"广东"	109
"时"	108
"类"	108
"高"	108
"开"	107
"草药"	107
"枣"	106
"而"	106
"苦"	106
"鼠"	106
"那里"	105
"不知道"	104
"石"	104
"竟然"	104
"管"	104
"刺"	102
"趣味"	102
"与"	101
"天然"	101
"珍贵"	101
"莲"	101
"见到"	100
"评论"	99
"无"	98
"晒"	98
"最后"	98
"桑"	98
"特别"	98
"真的"	98
"还是"	98
"马"	98
"地方"	97
"木"	97
"果实"	97
"见"	97
"五"	96
"地黄"	96
"皂"	96
"称"	96
"骨"	96
