Title,Title_URL,Image,likes,comment,collect,share
好久没和大家聊天了，这一年一方见地感谢大家的支持和厚爱 祝大家在新的一年不负热爱，好好生活,https://www.douyin.com/video/7334021194951183651,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ib2b272eab63e461fa4f41c0d44212e9d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=iego5rINr23L2dLblKZJa6cWgXE%3D,531000,15000,19000,15000
#一日一植物 等了三天，终于拍到了雾中的彼岸花，有彩蛋哦！ @抖音小助手 #寒假充电计划,https://www.douyin.com/video/6877527021975522573,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/76ea789a830442cfa409db89c062b580~tplv-dmt-logomcc:tos-cn-i-0813/afd37cdb3a744667ab721fc7672a4221:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=kpEQpIqHcmiK5aWAl%2BZSv6MoWhE%3D,694000,49000,26000,42000
#一日一植物 终于见到了七叶一枝花  @抖音小助手,https://www.douyin.com/video/6809631150399671566,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/1e0ff7d96ef847d594b50069a31cde38_1585490838~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=A3UtMkb2OhtYhk5QPq21P3VE2yo%3D,1669000,63000,38000,55000
芒种，种什么得什么,https://www.douyin.com/video/7376547644493073676,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/27be0bac80ac4914a141e34e7f68f5e2~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ToJCtV8P7OAmYNqaWifo%2Bs7eIkk%3D,174000,4399,21000,22000
感恩因植物而遇见的每一个你 当我看到这一本30年前泛着点黄的笔记本里，植物、手抄、文摘随着个人的心意排列着，我看到了美，时间，和一个独立而丰满的自我，应该这样活着……送给我的铁粉们，也送给每一个看到视频的你。,https://www.douyin.com/video/7376277152746032395,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/3de6d1602f634e8eaff9e88627d5bc71~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=cKkmSnHIddK3JSBQ6cx4OfGa%2BG8%3D,12000,439,566,358
《边城》里的虎耳草开花了 #小孩的抖音已经nextlevel了    #我就说抖音能学到新知识,https://www.douyin.com/video/7374467245319392551,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/998d3024bc764a08abba9208211f419d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2BSqjr%2BP0s4hDU0Dd0g2BT%2BDddU4%3D,119000,4253,6987,6266
在梵净山一个月我们遇到好多有意思的植物带你们看一下 #一日一植物 #水晶兰 #蛇菰,https://www.douyin.com/video/7373207148660116775,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/948fe2c516aa487fa2bb3cd85f44b324~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=4AGJAGyj0CHSGvfDa7BAG%2FI%2BLPE%3D,164000,6314,10000,11000
看上去平平无奇，却影响了世界版图的变化 #teastone#茶简史#茶礼盒#一日一植物,https://www.douyin.com/video/7370691136345672971,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/2e8d98d788064a9aaf425942bc94fd52~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=OlvjbIpMFrfpY6RmAjU%2BLWl3bO8%3D,359000,13000,38000,29000
小满是不足，不足才可以流动 #二十四节气 #节气 #小满,https://www.douyin.com/video/7370542973081128203,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/be64c792cbe043fbb064465e3c68f0f2~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=N0sBpRauKUbOL%2F1z1wIpW3U%2B04A%3D,113000,2179,12000,16000
在路边遇到特别想拍到的绶草,https://www.douyin.com/video/7367723089578265896,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/0f1209d5bfa848cb9c1e697cbcf75fbf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=gIYucruXwhbk2mqadhUVQIIgSRQ%3D,170000,9625,12000,11000
立夏，准备好和万物一起奔跑了吗,https://www.douyin.com/video/7365081872818277673,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/020910a61c044621911d89b1c5e14241~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=rM1SLqThypmzhoiNywrGiCz%2FK6Y%3D,126000,3862,14000,17000
竹荪自导的毁灭是为了迎来更多的新生,https://www.douyin.com/video/7364404149607288103,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/acc26d21506c45a7a08ca31de4ec811c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=5fwxmUEM4BgFJt3n3tPv5nDBkVc%3D,55000,1237,2898,2857
在武陵山农夫山泉水源地邂逅多种珍稀植物，并再次遇见七叶一枝花 #农夫山泉水源地  #水源地探源,https://www.douyin.com/video/7363220578645462322,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/12c9e19f9fe247a1af9cb88931c195a4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Q6%2B%2Fxlc9G2mGRB2wQYL1NC7l3kE%3D,156000,3602,6178,4929
终于见到我的梦中情树，植物界大熊猫，珙桐 #来贵州上春山,https://www.douyin.com/video/7362905571877571880,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/0f0c342c02bb4019bbef8fff24138b1e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=gdKGWelrhdEYTi8d2rkOwCi2VZY%3D,140000,5593,7831,8259
今年春天的第一口茶，我想留给贵州，铜仁竟然是抹茶之都 #来贵州上春山 #原来贵州茶这么厉害,https://www.douyin.com/video/7362484000973245746,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/8b0308efbd8c47608dc8a66d0dd005f4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=1vg01t1b7fQ9LcfGk4ha4qDBRZc%3D,32000,778,1913,2305
春天要结束了，但是你真的了解春天吗,https://www.douyin.com/video/7361416774450941199,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/94c6ac75b1fe42d2a7487b8a58ce6d0d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=kd%2Burd4J4GP%2FVoGEFd9arD%2BZ0Rc%3D,83000,2258,7656,5977
这是我最想要拍到的植物之一，它太美了，水晶兰，幽灵兰 #来贵州上春山  #贵州花海有多浪漫,https://www.douyin.com/video/7361045147187940643,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/f5070f8527b34b9db0bda2628d981d83~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=VPgSt%2BNA0kpkvpYLcndQ5rTtsJ8%3D,97000,2550,5666,7701
很惊喜，很感动，这些微不足道的小生命也有自己的肖像照 #好书分享,https://www.douyin.com/video/7359957631311580454,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/937835247682466baef487220713da29~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=xEL7ll7sSKKdioPBgnp5W0mZzmQ%3D,32000,649,2741,1028
谷雨，人间一趟不过大雨一场,https://www.douyin.com/video/7359153847580790079,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/a8f870c0af5243168a84a43fe638ec05~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=qHUEqiQqtlHQVWZX%2F0Nuuf4jl4Q%3D,154000,3500,19000,22000
