Title,Title_URL,Image,likes,comment,collect,share
这就是藿香。也叫猫把蒿#植物科普 #神奇的植物 #野菜,https://www.douyin.com/video/7376857799965281563,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oI7EpWBBAfB8CdvfSM4MAqEfSAIBQAsQM73DQA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=q61MscstMBxCrsG4o0tEYT0QSRw%3D,108,6,37,15
我们这里叫金不换。野菠菜。土大黄。你们叫什么？#土大黄 #抖音新农人 #植物科普 #你的家乡有这种植物吗,https://www.douyin.com/video/7376111503784643877,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813/oUAiAgI56AAn2NIgAElyXdBlvq5r0kJBkdZPi~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=IC73Lq7gd52a0%2BBAPNMoTSQYBEw%3D,67,21,10,12
你认识几种？#你的家乡有这种植物吗 #植物科普 #抖音新农人 #一日一植物,https://www.douyin.com/video/7374308873701707034,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osWUnFB9CDmVVbA7zgQAAjuKEffGxPAEFMIMsB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=CFKBXqOhRDuGnjd8GQv8TGNRIQ8%3D,157,13,59,23
乡间无杂草，认识的都是宝#植物科普 #我的乡村生活 #识百草,https://www.douyin.com/video/7374189882974932261,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oQEAWmeAjCmAEg980JIABFEAKYDKzVAjofYoqC~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=FKPkBbkZsv8pQeSlRRBuOgqK5II%3D,719,50,487,91
这个我的家乡很多。你的家乡呢？#抖音新农人 #我的乡村生活 #植物科普 #抖出家乡山货 #识百草,https://www.douyin.com/video/7372054084326673702,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o02GCiB2eAAHnIAYQOiEQYCAzAcgD0AaJzf75B~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=16FoeumBDVtKAzLEVAp1zp4YCMw%3D,188,12,62,28
这是一代人的回忆。现在很少见了#我的乡村生活 #抖出家乡山货 #小龙虾 #蝲蛄 #蝲蛄豆腐,https://www.douyin.com/video/7371573511355157811,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/ocAIgi7AeuMEzAFfNAlJBoyIVnbBACiRCXPAd4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=jYctDoGWE%2FlFBHGt%2BNDRnBP2MyQ%3D,450,107,67,86
这些菜你都吃过么？那个是你喜欢的？#你的家乡有这种植物吗 #抖音新农人 #一日一植物 #大山里的味道 #抖音助农扶农,https://www.douyin.com/video/7370855563883793701,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUlAgCHREvPf7fAXPfct4EVB2ZEEaMgBFuQG9j~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ruDNTSSaLa6s%2Fqns1GZ%2B52PIrFQ%3D,2684,104,1859,913
推荐一款不锈钢小弯刀#好物分享 #抖音新农人 #户外刀具 #你的家乡有这种植物吗,https://www.douyin.com/video/7370597997408701746,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/owBfEChzAqtAUD3AnmZJAoXI9AfGk9ASjuC31g~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=q%2BmNH0PYsm1HKH0JGAg19BduvBs%3D,22,1,8,2
带你认识几十种东北草本#植物科普 #识百草 #抖出家乡山货 #大山里的原生态,https://www.douyin.com/video/7370484229899095334,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUlyCbkDnBtMeeEBlJDOmQIGkCEQk6xAWm7EfA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=7LIFxe0A2kWfAEp8rwCzq6udJ%2Fc%3D,5361,318,4090,1118
你还认识什么山野菜#植物科普 #识百草 #山野菜 #大山里的味道,https://www.douyin.com/video/7369058540423580966,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oYeE7ELbMEEABABQJEieGBfDIknAHAAEAAbp8D~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=SSz7w64eAYM3pgfD4STc3y5Xvj8%3D,462,28,200,92
