Title,Title_URL,Image,likes,comment,collect,share
女贞子....贞子娘子#中草药 #植物 #中医药文化进校园 ,https://www.douyin.com/video/7086223225948032271,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/57c44ef116db43bc9e5e7d8af4375b96~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=chT00TQTNolYvpZzcHE7UTtAQaM%3D,12000,377,2231,1509
防风吃了以后真的可以“防风”嘛？让我们来看看它有什么样的功效吧！#中草药知识 @抖音小助手,https://www.douyin.com/video/6862246830265126144,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/a164baced79847feb6b44b41f0bafad5_1597741353~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=7RHpU5b8HRVeAjg%2FoXE9r7UDLdc%3D,1012,46,262,188
可爱的小狗也会误伤到人的哦，这些处理措施你可以了解一下！#中医药 #健康 @抖音小助手,https://www.douyin.com/video/6855996662888877327,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/00e43eef97224f2ea6f034018d8df941_1596286123~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=1RivLb117MljpFLTNBiT3EPi%2BHE%3D,643,58,84,107
当归#中草药 #中医药文化 #日常,https://www.douyin.com/video/7333169114229345590,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ooWyfEaDKHIixYplAxBQ9pkenbPNPzANAnEBgy~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=4A7a%2B3Hi80UJ8M%2BaVYx%2FKVVJXgA%3D,35,0,4,0
中药情话7#中草药 ##日常,https://www.douyin.com/video/7332709808006515987,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEeAcbwMvgC9njbgCacDAaBNEAw8QeVXlcT2T8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=cTL1AAndosstuLtQ4f24m2YBQik%3D,72,1,27,3
中药情话6#中草药 #中医药文化 #日常,https://www.douyin.com/video/7331932708299443497,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ool2NQA01BEIEAe9AA3Q3I0BNwApgLbOeIhnDi~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=evXVqDeI9lw%2BCLC4RaLX44G44ak%3D,68,1,17,7
藏在古诗词里面的中草药#中草药 #中医药文化 #日常,https://www.douyin.com/video/7331652461800754451,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oEolLfNUAAA3A9K9gQ8MvhNnBbNguo0DAACLeg~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=wP7UzevMc9Xq9PZjXk4Tbja7G6c%3D,41,0,9,0
中药情话5......#中草药 #中医药文化 #日常,https://www.douyin.com/video/7331304045182766372,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oA9glug6yDzUUOJlAEBvQBIebYAdBBANFnA9ve~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=qSKmWEMNziR5wO0ZC21maM3b%2FDs%3D,80,1,21,7
中药小故事...满天星#中医药文化 #中草药 #日常,https://www.douyin.com/video/7330946564439035190,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oMfYj2AS1DAepAbWAiABQgI5bIDFaIC0OnI2ee~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Muuz%2BHCbmN0Zg%2BpIGVGBwu6J7lA%3D,26,1,7,0
藏在中草药里面的绝美名字3#中草药 #日常,https://www.douyin.com/video/7330537059213511975,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oUO0dnuZIANobgAABATDSbzAiEC9gAeAl7Cenb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=WwdlY7M0F0KCt%2BsMEvRMC8vGpXQ%3D,73,2,10,5
