Title,Title_URL,Image,likes,comment,collect,share
这个叶子全是刺的植物你见过吗？ 在外面见到一定要采摘一点回家#大自然的馈赠 #植物科普 #我的乡村生活 #你的家乡有这种植物吗 #识百草,https://www.douyin.com/video/7355761595215056154,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/743d4db22c9e4d3d9e2d1cbc334eec9e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Dz%2Bfl15feJKKYBmMFawzsQC9Rl0%3D,1361,356,284,113
这个野菜你吃过吗？ 没想到它的种子这么好。#你的家乡有这种植物吗 #植物科普 #一日一植物 #识百草 #春天,https://www.douyin.com/video/7356909074379803919,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/e032f964f82841e3ad0eeddd34d79cf2~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=MEWShdSgpNFNVw3AKwrQbeukynw%3D,607,90,165,44
春天的美味 楮不揪你吃过吗？#你的家乡有这种植物吗 #春天的味道 #乡村生活记录 #大自然的馈赠 #植物科普,https://www.douyin.com/video/7352724900328508710,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/139a5a4f273e433a92764eac77d83d9b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=2P1jdRKVQWULS1JJjnUFxMgnJFw%3D,764,117,178,93
这个长的像金丝一样的植物很多人见过，但是很多人不知道它的妙用，你的家乡叫它什么名字？#菟丝子 #你的家乡有这种植物吗#识百草  #植物科普 #大自然的馈赠,https://www.douyin.com/video/7276981633377455379,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/5ec36708eba441a9ada4824ddca75180~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=UvhTzFwuf%2BJluyuLdPXbVEn81RY%3D,1046,113,309,117
这种铺地而生的草没想到它有这么高的妙用，你认识它吗？#地锦草 #你的家乡有这种植物吗 #大自然的馈赠 #植物科普 #识百草,https://www.douyin.com/video/7269738591117528331,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/d7fd7a60c69c49e39a98570ec639e642~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=gQJSA%2B3eI1MxpCfrMcHCzspotR4%3D,1291,192,372,158
凌霄花你见过吗？ #凌霄花 #你的家乡有这种植物吗 #植物科普 #一日一植物,https://www.douyin.com/video/7268252653971328292,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/43ce4d8581094d44b38d5f575ff8cda0~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=rwn2R71JEa67oj%2Bvs7nLY9HwhDU%3D,626,52,189,85
这个漂亮的小花你认识吗？懂它的人都会把它摘回家留着备用。#你的家乡有这种植物吗 #植物科普 #识百草 #大自然的馈赠 #乡村生活记录,https://www.douyin.com/video/7262563439459962171,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/379a3be169d4487cbd7a8737634f993e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=f95mfbEhL5eVNNY4Y%2FyN%2FFcbQlM%3D,1070,144,406,121
这种农村常见的杂草没想到有这么好的妙用，你知道吗？#狗尾巴草 #你的家乡有这种植物吗 #大自然的馈赠 #识百草 #植物科普,https://www.douyin.com/video/7260389975680650551,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/1bb8626da26b4b4189779569b64ee2ec~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=rdgmnbjwhg6oQQME3eH%2BNg5lhRY%3D,796,108,291,126
蛇床懂它的人都会把它采回家晒干用来煮水，你的家乡叫它什么名字。#蛇床子 #你的家乡有这种植物吗 #植物科普 #识百草 #农村生活,https://www.douyin.com/video/7258886150989909306,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/186a39cd2ea54b7fa2650fba9a8a08a9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=au7P7ehb0LfKUFnknIhQ7%2Fw55jM%3D,659,62,232,62
这个植物你认识吗？现在已经不多了，没想到它有这么好的妙用。#灯笼果 #你的家乡有这种植物吗#植物科普 #识百草 #中草药,https://www.douyin.com/video/7256688195348303104,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/93ac8905d7984ddda11fe573e1998b84~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=o31ItaIWdJg%2FvNsOgfXwQaqNaqs%3D,748,103,239,70
