Title,Title_URL,Image,likes,comment,collect,share
中医界的“司令”：办宇宙最强中医教材，和被遗忘18年的中医大学 #历史 #中医 #大学 #健康 #科普一下,https://www.douyin.com/video/7202964664345578813,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/ad0f7117761449bda99084c24510a82a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=WXIQZJdyCPoUN2p3ydJQd9nD0e4%3D,50000,2791,11000,3877
吸着上瘾的雅好！闻香祛疾是不是伪科学，别被笑话不懂国粹 #中医  #养生  #健康  #鼻炎  #耳鸣  ,https://www.douyin.com/video/7094594952591592717,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/ffb5467a8a2a498d965703581c93dc19~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=7LLDnAh27A6bIQxdvaKV6naOojk%3D,58000,2455,16000,8415
端午节戴五彩绳，牢记3讲究1忌讳，祈求家人健康平安 #端午 #中医 #养生 #健康 #国学 #五彩绳 #文化 ,https://www.douyin.com/video/7376960782103383350,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/2a78e85a365b4774bb4d3ef22a4469c9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=pTpWRKhvpFNqVJ1XOk5GN5aUR6I%3D,1133,25,285,391
一个单方获国家重视，中医“高手”在民间 #人物故事 #历史故事 #中医 #中药 #健康 #养生 #文化传承,https://www.douyin.com/video/7374773772609424659,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/14059b1a7a5f45f1965c266b7539fec5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=tl0ivyhkAbhCsuzJhYG7cUx1QIo%3D,3941,277,1208,314
文科生不能报中医学了，不要人为断了中医千年传承！ #高考  #中医 #中医传承 #文化   ,https://www.douyin.com/video/7372170261598194995,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/120abc1785f54b0b941898ffeccee877~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Ojdb6cuREhdEImtaoRoltujA9Ao%3D,14000,1922,1883,1511
高调支持中医的“猪蹄”厅长：再多骂声，也没有老百姓的反对声！ #人物故事 #中医 #健康 #人物 #中药 ,https://www.douyin.com/video/7366235028700941580,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/ce94837849ef479aaf31cb0845eb1e15~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=drDQ8VoeXTBGHf3zkcIH1ec6XN8%3D,12000,897,1644,1142
中医复兴，与时俱进，“经典古方”揪出疲倦乏力元凶！ #健康养生#八珍袋泡茶 #茶郎中,https://www.douyin.com/video/7357923181467815194,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ia0e5fe7223994cd6906f6eee03db4fd9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=O1clCQsNjokv0dVAMIrsIoGvFAE%3D,3020,87,1626,576
日本制药厂翻车的黑锅，中国用了上千年的红曲可不背！ #中医 #中药  #健康养生  #小林制药  #科普一下 ,https://www.douyin.com/video/7353611746029948201,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/0b55a45768544bd18875c0b5d6e172fe~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=fxhkh22g7rq%2BEhRuGxnSgwNRsBs%3D,3053,167,483,282
中成药帝国传奇：两父子从中医做到首富！ #人物故事 #中医  #健康养生  #科普一下 ,https://www.douyin.com/video/7351765982093905206,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/19d3244c3f584e5e84a18350ae3b7167~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=jW62qCFBi7b1oQnkO3APNe%2FcNb4%3D,8471,269,3476,1449
你以为这中成药是男人专属，没想到是给小盆友研制的儿科专用 #人物故事 #中医 #中药 #健康养生  #养生 ,https://www.douyin.com/video/7349153484387765531,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/d7a3732430664cdf84bd9b7eafc5a614~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=xYqLGcKcNwd6mS4kDLk%2Bqw6UDiI%3D,3434,97,939,541
