Title,Title_URL,Image,likes,comment,collect,share
这个药物的发明过程委实有点令人哭笑不得。 #国学文化 #中医 #中药 #丹砂,https://www.douyin.com/video/7375082527125556507,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/243c9df0749242879b3933796032fbb9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=nVSowZUFpgC9HxgdoOp4C6R1QLs%3D,143,4,12,7
电视剧里说的神乎其神的药草能信吗？ #国学文化 #中医 #中药 #鹿活草,https://www.douyin.com/video/7375082200842128667,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/db7a2a5484a242a59baffd192b47865c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=USDwujGpepg4lC3d%2FGLySSqtoWA%3D,95,3,9,3
女性的好朋友。 #国学文化 #中医 #中药 #漏芦,https://www.douyin.com/video/7372474571745987877,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/8e73c84e36d245a4850a261bc77c5e83~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=fyJPwtrYAg9j21lhfUsgeFDSYz4%3D,126,1,12,5
谁还不是个多面手？蒲黄，又能入药又能做酒。 #国学文化 #中医 #中药 #蒲黄,https://www.douyin.com/video/7372474077581184294,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/6591d45692954147aecf3bdaa2487a0e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=8%2F%2Flma1H9t%2BRc1deDvrcAUfkjzc%3D,120,6,19,8
情志不平，心疾乃生。 #国学文化 #中医 #中药,https://www.douyin.com/video/7369071006922706212,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/cd733f0a17c143bcb5c63d3aeb2420a6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=K1lsDgIIuL3zYakOBwP7cJy7hDI%3D,140,7,24,33
中国古代也有心理医生，看病不用药，但是工作风险有点高。 #国学文化 #中医 #中药,https://www.douyin.com/video/7369070711551331625,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/1b439e6700c440eabecc0f799632f5a9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=iVwGT5Mx%2BOgdMdgDBSFOPEAePtA%3D,143,6,7,8
这个药，宫廷剧迷们都是再熟悉不过了吧？ #国学文化 #中医 #中药 #麝香,https://www.douyin.com/video/7369070168078601526,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/313bfc94f7b74e4a85f285907b40d835~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Pg%2FU6Vm9ziOznRy%2Fqlb2ng3Yg1M%3D,171,10,28,9
小时候谁没有被它扎过手脚？ #国学文化 #中医 #中药 #蒺藜,https://www.douyin.com/video/7369069785323277607,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/51a1a070a26b4b06b1bc5cbdde7874b8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=wGoZz2%2Bl2YotZCJgr%2FN0utkrFnE%3D,166,14,32,14
络石藤，络石，真的是一回事吗？ #国学文化 #中医 #中药 #络石藤,https://www.douyin.com/video/7369068899519712524,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/efa4cc22c7e54421bcd2168c296baf96~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=uTQ0e7kmVBJ03CCuYpGs5bYLXsE%3D,104,4,17,2
有没有人能告诉我，蓝实和菘蓝的区别？ #国学文化 #中医 #中药 #蓝实,https://www.douyin.com/video/7369065938785783103,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ecd7ab1481fb44e2aa7a61778a242a19~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=1K5TiQNenzeOzJOkqp1JOXD2c7I%3D,108,10,7,2
中医界的十大牛人。 #国学文化 #中医 #中药,https://www.douyin.com/video/7368795376087731497,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/b7e056cde4654f7fbfd4d083d28dc56b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=sY8X8z7Kp%2FOPZRvSg9M3%2FHhNkME%3D,100,6,13,4
中药云母的传说故事。 #国学文化 #中医 #中药 #云母,https://www.douyin.com/video/7366455853454576932,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/bc1e679e1a9a4220b23a74cd9dd23af1~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=H5JxJhB6Y7T7cFrTahpr3Luoars%3D,88,6,5,4
中药材卷柏的俗称您知道吗？ #国学文化 #中医 #中药 #卷柏,https://www.douyin.com/video/7366455796751715595,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/54bd5b2ea26c4cf6aeb2f7a1e4f97898~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=REwtUl5w2DL69y9FkXsSYGArMTE%3D,116,7,8,1
十大毒药排行榜前三甲来了。 #国学文化 #中医 #中药,https://www.douyin.com/video/7365723489397001511,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/48be7cd4ce2847c4870d5caff728741d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=pRUrj0H8AvwPWv5M5B%2F%2FbY5eWU4%3D,75,5,11,1
十大毒药排行榜（中） #国学文化 #中医 #中药,https://www.douyin.com/video/7365080795729399052,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/1f626124ed04497c948d89e40b76f550~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=4wTVByHHIaBoYy3%2FupWzCj%2FLDc4%3D,75,10,12,7
十大毒药排行榜。 #国学文化 #中医 #中药,https://www.douyin.com/video/7365079849611873572,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/0d63d5825d904e5e9458e980891d71ff~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2F0ztmZc6P2NMYqIgh0SZuzrME6k%3D,107,8,15,8
