Title,Title_URL,Image,likes,comment,collect,share
传统的炮制技艺是需要传承的，现在的年轻人还有喜欢的吗？,https://www.douyin.com/video/7374706827235233075,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUpONDz2mNAd6jUYB4FEgiDXAWA9zXeQIafVCD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=2IJUILFANYraho9eVUQderpyvpA%3D,329,12,59,14
发掘一棵50年的何首乌，它的藤叫夜交藤，最有价值的是它的根，生的不可使用需炮制后使用#何首乌,https://www.douyin.com/video/7372119784722402570,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oU8MOx70BNMnDeFQMDW8BQRfBcAegACXgvOEOA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=6b%2FJXxg4xc2PjD5mJvkXbJWZhRk%3D,780,36,255,72
土大黄为蓼科属植物，多年生草本，根肥厚，叶子巨大，长的很像菠菜所以又名野菠菜，你有见过吗？#植物科普,https://www.douyin.com/video/7371372477823405321,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okKwJJaoMaBoqfjYCtXQAzMFBmA7eHegQL82EL~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=v%2Bk%2F22BFI0Qtbj197169dWZlIj4%3D,601,25,218,58
决明子就是觉明草的种子，家乡人经常采摘决明子泡水喝，你有喝过吗？#决明子,https://www.douyin.com/video/7370259295776083226,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oA9mEF8d1zCQFXKIADnAIuSZ9emgaBhARGDfbl~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=AFtjSmNyQEByIKFy1cshEbL%2F6yI%3D,603,25,181,59
翻白草又叫鸡拔腿，是蔷薇科委陵菜属多年生草本植物，它的根是白色，小时候经常挖来吃，味道甜甜的#翻白草,https://www.douyin.com/video/7369140291758050586,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8BezhgZECzC4VAhIBEzmCfPmI1CcANjDKA7jH~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=aXmG7fk8vaRO%2FIhItkcALQqezqA%3D,1738,27,500,159
苍耳子是菊科苍耳属一年生草本植物，其果实有很高的应用价值，你知道它的用法吗？#苍耳子,https://www.douyin.com/video/7368773457464528166,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oomXCsD4tBfEyAe9AAkI0HjC6QAEgbbJjPJnDs~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=xr9jQW%2FCsEYwsHm4wGqs44W%2FIP4%3D,174,7,58,15
传统炮制竹茹一共有两种，一种是将其去其杂质揉成小球直接使用，另一种则是用生姜汁炮制之后使用 #姜竹茹,https://www.douyin.com/video/7368411720454245670,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owdEAhL2hfAgNICgIeDzCqkZOi2n2DzB8AttB3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=qrka5PIEMz4coqdPtnIbQXDkTUs%3D,222,9,41,10
农村常见蛤蟆草，它制作成茶的价值你知道吗？#蛤蟆草 #蛤蟆草茶,https://www.douyin.com/video/7367284234328804635,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oszHztMUAhHCIg2Z0EzgfB19E4euAGA8QAON98~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=a2xwCgFWoIU62mT2bGJ40HSKFdI%3D,127,3,24,11
车前草茶是车前科车前属一年或二年生草本植物，广泛分布，遍及各地你有喝过车前草茶吗？#车前草,https://www.douyin.com/video/7366549584664890651,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEE1yeBzNH7P5faMOMMzdgCACCAtAZjgxIjFhZ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=80nCikjkyhA5cq6RQjshZG%2BeiQQ%3D,218,5,66,30
今天带大家认识一下有趣的草本植物，你都能叫出它的名字吗？#植物科普,https://www.douyin.com/video/7365798692797893938,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oE9glAgrAemI8CumXJC8DKiOEBCb8do4JgnkAf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=IewZybVpO2JLt49%2BbJof2K65zvY%3D,535,15,217,68
