Title,Title_URL,Image,likes,comment,collect,share
古人养生十要诀，愿君健康破病邪。#传统文化 #文化新说 #中医药文化 #养生,https://www.douyin.com/video/7172092308643532068,https://p3-sign.douyinpic.com/tos-cn-i-dy/4fd2b8627a6948d3b7c2e990574d8621~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718816400&x-signature=Cr5w61jQ2iW4%2F5ykQ7Qht2nl088%3D,19000,587,13000,14000
我真地佩服第一个吃螃蟹的人。 #传统文化 #文化新说 #中医药文化 #中医药故事,https://www.douyin.com/video/7375085870933626121,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/418462a5917a490eb7e7f46a255fc00e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=WIFdBWlSFG9MBfPCNUmTDlA1%2F1E%3D,24,1,10,1
《老九门》说它是仙药级别的，您信吗？ #传统文化 #文化新说 #中医药文化 #中医药故事,https://www.douyin.com/video/7375084991786667302,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/baf6049b03464907a3cd0aa12f1d2338~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=FZ16nHkNFh0l0PG%2BbMyb84W6va4%3D,22,0,9,2
中药漏芦的传说故事。 #传统文化 #文化新说 #中医药文化 #中医药故事,https://www.douyin.com/video/7372466486683733286,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/31c415ac3ca449258796412095265177~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=pdiLLGyxw667qvSPoCEMhdjTgJU%3D,93,7,39,13
蒲黄的传说故事。 #传统文化 #文化新说 #中医药文化 #中医药故事,https://www.douyin.com/video/7372466246400445734,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/38b73fd8adc84dfc99f16a0c6c0dbd7a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=xAghpHBoO8fZucE1eWTZi2SmFl8%3D,100,4,52,23
情志病的治疗。 #传统文化 #文化新说 #中医药文化 #中医药故事,https://www.douyin.com/video/7369060771298364713,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/d1f416e6975f43838bbe747be3604f5f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=tsqNUiKCpR7Rvo1h0MQEUvycwDM%3D,61,2,22,13
心理治疗很重要。 #传统文化 #文化新说 #中医药文化 #中医药故事,https://www.douyin.com/video/7369060058673466635,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/1620036ef54e42dd94b7b66147d701da~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=SjReieH7ovqVO8WAnPsxic7nhhQ%3D,57,1,14,4
孕妇绝对不能接触的中药。 #传统文化 #文化新说 #中医药文化 #中医药故事,https://www.douyin.com/video/7369059454089694518,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/31a87088c46d40b29d7c51196d9d334e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=bWnYCTKYappgmdFjOEm31k4dNbU%3D,161,6,34,9
扎人的蒺藜，也有妙用。 #传统文化 #文化新说 #中医药文化 #中医药故事,https://www.douyin.com/video/7369058929638198591,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/c5d44fa270a14bb1b7e4d27c10e25ab3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=a8Ic9UJAZnSZwzvK%2B7O%2BaCmf62U%3D,221,7,133,48
络石藤的传说。 #传统文化 #文化新说 #中医药文化 #中医药故事,https://www.douyin.com/video/7369058516604112191,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/37d465aec14b47a69173e4c307622c73~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=FOui%2FumX9aFl4yC9CKSUWIxOclM%3D,89,3,33,6
