Title,Title_URL,Image,likes,comment,collect,share
涨知识：男人看过来#全民学中药 #科普知识 #传承中医文化,https://www.douyin.com/video/7180307742207331643,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYSAKCDyeDnJ7jAhdjrweNLBbREE1HQBJwIfHy~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=g%2BgZGWwPZnjGPOg7YP5pK3WTqAw%3D,78000,7162,7991,29000
《中药趣味》你知道药店的由来吗？#全民学中药 #中草药 #趣味知识 #动漫,https://www.douyin.com/video/7128318448710585607,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/a50f30a6030a444c81ec1aeb6243cc7f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=zZ4g9xdb5CtWAKHYTC%2Bx0C6PQA4%3D,405,16,99,150
《中药趣味》你会比同龄人显老吗#轻漫计划 #神奇植物在哪里 #中药材,https://www.douyin.com/video/7027406500624665893,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/e2c1777a44d344fab759b542d130e012~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=pUwMpcfpXYwbtgM99wM3rKuJxmY%3D,10000,262,748,677
中药小故事：山茱萸#中药 #识百草 #中药典故 #山茱萸,https://www.douyin.com/video/7291972484897803558,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIMIAeuODeA16MEgQ9nnCjLgkiSToIlyhAEbBl~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=IoEPIIi%2FPQGFGEUkYLL6Y0MVfJM%3D,464,13,68,57
中药材小故事：大蓟#识百草 #中药材 #动漫 #大蓟,https://www.douyin.com/video/7290492990961880381,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYRlzNDHAhHCIMCcoCygfBmtEoeoAOp4cAhT3h~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=FbjMNzZC88a16A%2FWKGsY41wnor8%3D,215,25,28,33
中药材小故事：乌药#中药材 #中医 #科普知识 #识百草 #乌药,https://www.douyin.com/video/7289399543748234553,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owVbkewNAkd7onF5IxJBfrXfI7DBUKgEACCpEa~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Jrw%2B7Bp7fqM%2FDSfuD87wmQK0liM%3D,219,5,30,24
中药材小故事：丁公藤#识百草 #中药材 #科普一下,https://www.douyin.com/video/7287539726444236091,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/ooiolAIDpCz7g2AeE6EABpCiNCfs9INhaBnvNN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=UdubGEWtlIrn2AchBKxsebvXRd0%3D,300,15,48,33
土鳖虫你知多少#原创动画 #动漫 #二次元 #科普知识,https://www.douyin.com/video/7279433398022638905,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0b9EA4yBVIaIAYFPgBSIUevgCeiAlAbBnnCzD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=lCqCOXhQd6bsWhCJ%2Fx9QbgoSJJ0%3D,747,36,113,58
《中药趣味》极具神话色彩的草药#原创动画 #二次元 #动漫 #中草药 #科普知识,https://www.douyin.com/video/7276777686259731767,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogABCsk8dpJIbC3pUnnEsEX3EfT7D6eABgbBuf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=7eADCLmbhOGE308eoWVjDqWhdwI%3D,279,9,38,35
经常喝酒的人了解一下#喝酒 #动漫 #原创动画 #中医药文化进校园 #中药,https://www.douyin.com/video/7269362408450231610,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYy9CKh6rBCEPAfeAAYIXqFCBcAsg7tnQs9zhx~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=lCPjjq8acU1qM5VHPoXJSaABOuU%3D,474,25,101,56
