Title,Title_URL,Image,likes,comment,collect,share
有道理 #捡菌子的乐趣 #菌子 #云南野生菌 #云南人吃菌子的季节,https://www.douyin.com/video/7374383087926463756,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813/oEXZkIcSBXSgAlAwii7vlIEu1LEDABABxAPqw~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=zNCjRIpDwTnL3WdiGgKWQQpivck%3D,46,3,8,4
你们觉得有道理吗#野生菌 #云南野生菌 #我的乡村生活,https://www.douyin.com/video/7373655683889171748,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oAfmXQ9CA5DVuooEyfFzMIAMAwACQgC1HjAD7A~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Q4Iglvppca1h3lJ0b3JZdV%2FA3lc%3D,62,8,2,5
好东西值得分享#山货 #抖音新农人 #我的乡村生活,https://www.douyin.com/video/7372163468054646070,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oQpZlI83BPvgA6AriiavkIEY3iLcAVABiAPrw~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=B3MUAgVfM64sPBI7wj8W1Sj%2BcWU%3D,46,4,6,4
#山货 #我的乡村生活,https://www.douyin.com/video/7371866104177642788,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o85LkPh35pSAiOl7REwBZAUPQspIIN2BiIr04~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=OtGQ7VSwVcqHNmBqDc9FFKlb8wc%3D,26,4,7,4
你的家乡有这些宝贝吗#山货 #我的乡村生活,https://www.douyin.com/video/7371712210948705599,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/okQglZiPNPLzEBA9cwVIAZgAAAk2ITJwiBcxP~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=a0hWI1u2Mwr1AWFN2y99gQ5J39A%3D,42,2,11,2
#乌灵参 #山货 #赶山人 #我的乡村生活,https://www.douyin.com/video/7305349197748817203,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oYSgENH7BzAG0kHlmOfMAeyCxAcgbBssIhNKhh~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=KKxttIhnfA7v09pXPxjYNUKR6Y8%3D,181,49,30,15
#回春草,https://www.douyin.com/video/7304607020986993974,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocqKvDPuIBCHZqvh2BAAQoy5flfAhkfqWni7GL~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=PK3WycsPxMWxLr7ZuACc80LR5nE%3D,1716,78,514,130
#回春草 #农村生活 #山货 #抖出家乡山货 #大自然的馈赠,https://www.douyin.com/video/7284190140010876172,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/ocyADMWxwCiE1AfeIAWIrGHAAiA5gitADIpzhK~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=GkMdsI5nKaOIgEhgjpWQh6bZbps%3D,50,8,13,3
#回春草 #山货 #农村生活 #赶山人 #抖出家乡山货,https://www.douyin.com/video/7280116821137558843,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0GI4ugQDrnACNKeCaBiglKsQeiA9ADOIq72b8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=l4l63fUwCLrLLIUqzSYlHPBnysE%3D,78,7,12,3
#回春草 #赶山人 #山货 #农村生活 #抖出家乡山货,https://www.douyin.com/video/7278610336700222781,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogE6hAAf9EVE8eBgkPAgyiIWwu0wztABNZRymC~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=XszRGvyNMRtoZmCsjokeH3uqh4s%3D,89,11,16,7
