Title,Title_URL,Image,likes,comment,collect,share
这个植物竟然被称为一剑封喉的毒药#中药材 #植物科普 #大自然的馈赠 #一日一植物 #嵩医,https://www.douyin.com/video/7299389320371260723,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ff5c94dd284c4857b83716a3c0065a84~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=xUyw99yxIcsM2iq0JA3lv8%2BMnOY%3D,142000,12000,51000,11000
儿时的泡桐花，你们都拿它来干什么？#泡桐花 #大自然的馈赠#三农 #新农人计划2023 #植物科普 #嵩山 #嵩医,https://www.douyin.com/video/7231477732813589817,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/if7e7ce9b367c4beb94c7cd34e7144a6a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=fEDORQxVIgOg1LcBfnpuRlhhuwM%3D,94000,2575,24000,15000
不负青春，不负使命，继续前行，传承中医文化。#中医传承  #植物科普  #中医文化  #三农 #嵩医,https://www.douyin.com/video/7250411830915370240,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8Q9WnDcXGflIeDiAFISo0gInbAS8AJ2OBvkqQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=JBFywPFeHZcvHnf%2BK6swbk1xJZY%3D,12000,886,768,234
“植物界的河豚”你知道说的是哪种植物吗？#三农 #大自然的馈赠 #名贵药材 #新农人计划 #嵩医,https://www.douyin.com/video/7376553567085169947,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/387026d508f7435492c0c14fbd384d70~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=u4ZdsSNqYF9SHBehRCYclAbpeLE%3D,929,70,131,25
这个植物的茎节处长得像牛的膝盖，有认识它的朋友吗？#大自然的馈赠 #2024新农人计划 #植物科普 #牛膝 #嵩医,https://www.douyin.com/video/7376105165125979401,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/5c62b3e3c46046fcb1ab48346adcbcf9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=hH73VrMma5zA%2B4XLj%2FixSdH%2Fl6k%3D,2294,114,343,94
带你认识大山里的野生中草药！#大自然的馈赠 #识百草 #中药材 #植物科普 #嵩医,https://www.douyin.com/video/7375051151349157171,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/41a8426b3eb3485e9e85236cc732e13b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=9h%2BeD%2FKIveCuiQCJITFIatCs9Qs%3D,3025,101,1159,303
这个植物的根部有芳香气味，你知道是哪种植物吗？#苍术 #三农 #嵩山 #大自然的馈赠 #嵩医,https://www.douyin.com/video/7373867764122946825,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/b84c5019c1ea41c5bd842cd72c3efc1d~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=m1gWERTUcP%2F3sL5EBGtS5FOVQ2g%3D,2963,148,688,158
在山上发现了这个宝贝，有没有认识的？#大自然的馈赠 #植物科普 #一日一植物 #抖音助农 #嵩医,https://www.douyin.com/video/7372358973376286002,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/063ab3ca48ca44db913aca3940071450~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=QPuhwRySj5xuThPykOvpCKMi5YQ%3D,5821,316,1283,438
有这样一句话“寻黄金找问荆”，你们听说过吗？#植物科普 #你的家乡有这种植物吗 #大自然的馈赠 #三农 #嵩医,https://www.douyin.com/video/7369424374715190539,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/cf762654fad7437d8f2ba5255a744bee~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=EHwcndggDIYIdaoxhVLZwREz%2BrU%3D,5480,457,1098,411
天南星科的植物有很多，这个植物也是天南星科的一种。#灯台莲 #植物科普 #大自然的馈赠 #抖音新农人 #嵩医,https://www.douyin.com/video/7369488662997896467,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/0b19ff22367a46a0941321190366d662~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=mxu%2B9FY7ABNQPKssVmCWTRoaLQE%3D,2746,130,411,129
"""但有远志，不在当归也""你知道说的是什么植物吗？#远志 #植物科普 #大自然的馈赠 #嵩山 #嵩医",https://www.douyin.com/video/7368375251211750667,https://p3-sign.douyinpic.com/tos-cn-i-dy/5e42648bb0d645a1b6d0bcf28e6c82f7~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=zKw1oLE%2Btr%2BelqDVR312V4d5F7g%3D,9269,605,2458,703
有没有吃过这个植物的朋友？#野生药材 #你的家乡有这种植物吗 #大自然的馈赠 #三农 #嵩医,https://www.douyin.com/video/7366795313635478821,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/c5b37980a4e240a2898f87b94098a226~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=poVN1sFT4iKVzVI0GJ5fWzOo118%3D,29000,8408,6947,2659
山坡上不起眼的小植物，其实有很大价值！#瓜子金 #大自然的馈赠 #植物科普 #新农人计划 #嵩医,https://www.douyin.com/video/7365400324732915007,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/9c89277261f94ed0af216707e7491924~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=2fFgoPMkcH2HiPYpKFAyXP2YP2U%3D,26000,1176,7079,2100
大山里常见的植物，来看看你认识哪些？ #中视频计划 #植物科普 #三农 #中视频伙伴计划 #嵩山,https://www.douyin.com/video/7365070559845109055,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/e46c521e353e4a78abac1171f42a1d44~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=J77%2FwgDEf5QGLrj2bVIojVhjp5M%3D,778,36,116,63
大山里的果子成熟了，它长得也很特别，你们见过这种植物吗？#苦糖果 #大自然的馈赠 #抖音新农人 #大山里的味道 #嵩医,https://www.douyin.com/video/7363562938214518079,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/46a470c0b7f14120ad042fe268cbdba3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=rrnaND2s9rgW5QqVIfMlj4CWsGU%3D,3990,454,427,391
被称为“四大仙草”的植物，你知道说的是哪种植物吗？#何首乌 #中药材 #植物科普  #三农 #嵩医,https://www.douyin.com/video/7363562369945046308,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/7eb8047101dd4ec29d00f98b914f949c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=KqJ2JhYeqXQcqTwdlsPlOA6vjxU%3D,6428,393,1545,497
有没有只知其名，不知其身的朋友？来认识一下这个植物吧！#山药 #嵩山 #大自然的馈赠 #三农 #嵩医,https://www.douyin.com/video/7361643191839231282,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/4890f9b808484c40b1f4a874ea7bed31~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=O%2B%2B6HVQD7wJLesG6ZowVFJuHXtc%3D,3342,259,718,296
今天发现的黄精开花了，你们有没有见过？#鸡头黄精 #中药材 #植物科普 #大自然的馈赠 #嵩医,https://www.douyin.com/video/7361643563316251931,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/46b377f6544c4730a5f15fc9fba93551~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=DFLA2z5DrL0ZxK79UQuA8zKNJHs%3D,50000,2348,14000,5535
