Title,Title_URL,Image,likes,comment,collect,share
从#艾草变成艾绒 #本草中国 #纪录片 #中药 ,https://www.douyin.com/video/7068132277284359461,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/c9e8bb4877894921a96ca45035b6a0b5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Nyd81MKeo2jdLdkyU0fs%2FEPNMag%3D,2608,59,369,658
看饿了！本草版“舌尖上的中国”，武汉蓟春的艾窝窝#艾草 #纪录片 #本草中国 #中药,https://www.douyin.com/video/7068131704669523231,https://p3-sign.douyinpic.com/tos-cn-i-dy/1fb619321c2a44e28316a94be305d073~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=aYY7JZRHKBS6ogDmVpd37v%2FEJ0o%3D,1317,50,221,470
家有三年艾，郎中不用来 #本草中国 #纪录片 #中药 #艾草 ,https://www.douyin.com/video/7068130235157335332,https://p3-sign.douyinpic.com/tos-cn-i-dy/7cd46be7a8594f67804286ef9406733f~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=apFmOtDQyiv7tmUWozAQm%2FmvxYM%3D,1432,38,252,574
来看药农捉蝎子#本草中国 #纪录片 #中药 ,https://www.douyin.com/video/7065610794607594789,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/29a41c91b4bf4d96b5d75d400de1a0c0~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=wB8q2vZ33wTOvl0M72EOOCbKWvI%3D,636,50,59,64
"全世界蝎子有1700多种，在中国，蝎子被称为“五毒之首”#本草中国 #纪录片 #中药 
莫道剑拔弩张，只说生命智慧",https://www.douyin.com/video/7065609793704168717,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/21f3f7e67b1b4bec91260e9c35044007~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=zsWiogviH2xlj6sRq0Vt2YjGvGA%3D,709,29,73,105
大道无疆，武当山道长传道脉诊绝学#本草中国 #纪录片 #中医   ,https://www.douyin.com/video/7065220138903063838,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/5c30226607e74ce9b31e2b954002303f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=FV61bz5LeTdQRfFgOby%2BRE09ffE%3D,815,49,92,51
国家非物质文化遗产 武当道医传承人祝华英道长#本草中国 #中医药 #中药 #纪录片  ,https://www.douyin.com/video/7065220025933712677,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/b4ee1e51bb8b400eadfd14c49ff4af24~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=%2B8g7R1pRiA2OjZFyd4DvbgIMnko%3D,851,23,62,49
法国男子从万里之外来武当山隐居只为问道#本草中国 #中医药 #纪录片 #中药  ,https://www.douyin.com/video/7065219927384280357,https://p3-sign.douyinpic.com/tos-cn-i-dy/b7878474455c4e94a5f836ad5fc46f81~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=Xqw3ihdbjGtEp%2BX9ZGtqEhhXu1s%3D,346,16,49,53
耗时30余天的九蒸九晒 VS 现代24小时即出成品的密封罐蒸制出的地黄，你支持哪个？#地黄 #本草中国 #纪录片 ,https://www.douyin.com/video/7039997928219462950,https://p3-sign.douyinpic.com/tos-cn-i-dy/19b0ff3c50db4d8bb2a6b0644938ff9b~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=2Lebz92p0EepZQh1Yh3bnlfBOAM%3D,11000,291,304,254
蒸制是地黄转化的关键，前48小时可万万不能停火#中药本草 #地黄 #地黄 ,https://www.douyin.com/video/7039995743481924895,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/6cef1c347fad455caf1a621587c95e14~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=HwesRiaXFZs0E%2FcXrpQINz5HUoQ%3D,7537,89,173,182
