Title,Title_URL,Image,likes,comment,collect,share
通行十二经的中药材，你还知道哪些？#中药材知识科普 #中药材 #大枣,https://www.douyin.com/video/7304212182705704232,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/ocfLloJyrAz2ADdBhNTu1exBCkdtIgxiAi9gEz~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ypQvO41Rv6NfYlYwyhzRUrS4lOE%3D,2243,50,2437,586
——中国十大国花 如果让你选择一种当作国花，你会选哪种？#牡丹 #国色天香牡丹花 #赏花 #荷花 #我国的国花是什么,https://www.douyin.com/video/7321696490026454307,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUy1SnPQUe8eBwXbBAb3EELFyc7jNAw3Dg4CEf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Wukoc%2BGubliK4mbc5H7o1W2BuAk%3D,6398,705,2458,1510
山春常见的中药草（一）#中药材 #药用植物 #中草药 #中药科普 #中草药材,https://www.douyin.com/video/7376926056277724450,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ospvBfVHBAVzimzADgiGAcEzMBCIw9qg0aeE2A~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=SMBwVbrNpRd%2FJ6WjzcXS4ZPmbnE%3D,93,0,36,1
带颜色的中草药名（二）#中药材 #中草药 #大自然的馈赠 #中药科普 #药用植物,https://www.douyin.com/video/7376772791657368832,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okhf7lPIZY7HFgKQ2CLMAHlGAsE1zBe7egvBAz~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=IggKyirZC1jkqmYVCauXd0GBmHM%3D,144,2,52,9
带颜色的中草药名（一）#中药材 #药用植物 #中草药 #野生药材 #大自然的馈赠,https://www.douyin.com/video/7376551757595282722,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocxYMBQKrCGpAfATI2SBCJieKELs7vnIg7G0eE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=oqBr2dZt2rqecQb2IVivY%2BmhQOk%3D,111,1,32,3
野外中草药（二）#中药材 #药用植物 #中草药 #中药科普 #野生药材,https://www.douyin.com/video/7376245979634355490,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQFKstydBIlKqd0gAqiBCQen3BfSzUAEiug9AL~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=MBoDypq%2BaksTCzOvEIxzi%2FfBGzA%3D,175,7,79,11
野外中草药（一）#药用植物 #中药材 #中草药 #中药科普 #野生药材,https://www.douyin.com/video/7376186169152900352,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oE1AeQA6l0xqZYAXEfElcC6IxegCilQPeRIfet~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2B3YctvTOeEuJtLYFg0G5RCbFK58%3D,112,3,44,8
丛林珍贵中草药（二）#药用植物 #中药材 #中草药 #野生植物 #野生药材,https://www.douyin.com/video/7375875372019305728,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8fAnBvLAp3BLNEM78eCBYgryIQ6IDL4O6IueG~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=rYaBhCc5VwFNZb5kstQY07AjOe4%3D,133,2,55,4
丛林珍贵中草药（二）#中草药材 #大自然的馈赠 #植物科普 #中药材#中草药,https://www.douyin.com/video/7375813170230742306,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owx4jdgXfAIi7bK3DD9mahB6TEACFAI3GCgQf8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=QoRu7kppsRU52fn%2Bg71jrghuC6U%3D,122,6,59,8
乡下常见中药草（二）#中药材 #药用植物 #野生药材 #中草药 #中药科普,https://www.douyin.com/video/7375132501401931060,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIIEZCjAKuWGEeAtCuR2fZeeD1CLzdIZAIIQ1P~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=6W%2FRXFVIYkZTiiyB1Tb562jzyN4%3D,149,1,76,13
