Title,Title_URL,Image,likes,comment,collect,share
葱蒜韭的合体，薤白，大家一定要认识 #大自然的馈赠 #植物科普 #三农 这株植物非常神奇，长得像葱，根像蒜，薤白，你的家乡有吗？,https://www.douyin.com/video/7363632657453927690,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEEwIBAc94UMAunmZew4be6RnDNAYDLgDzOOBk~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=orD6rh2zKETquEtXwL9171kr368%3D,79000,61000,17000,18000
#植物科普 #我的乡村生活 #三农 和恐龙同时代的蕨类植物，有知道它作用的吗？,https://www.douyin.com/video/7348019386793446693,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owqQFBDzlBaLaQIfhHRLRAEhAAU5Nf8g19ILrk~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=kYuNJQL4CCv%2Bg89%2FrOwaQp2YEpI%3D,48000,6563,2793,3587
#我的乡村生活 #大自然的馈赠 #植物科普 壮乡神仙草，一草多用，可食可药，黄荆，你知道它有哪些价值吗？,https://www.douyin.com/video/7351995334228249894,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUOQe0DQIAgmipBbJE8DPf4Ioah6zAARnB49Cb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=ShiO%2FdCqyh8I5GFvwv%2Fn2I5%2BsMg%3D,148000,47000,42000,30000
开花像蝴蝶一样，翩翩起舞，紫花地丁，你的家乡有吗？ #创作灵感 #植物科普 #我的乡村生活 #大自然的馈赠,https://www.douyin.com/video/7376188299410443547,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ok1o0LC7GGMFuuBd8AXWAXPiQetj7cBIffg3vE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=cT1C23J4tiEF40A5eiq4VFFB2vM%3D,2557,145,410,124
#大自然的馈赠 #植物科普 #我的乡村生活 天地藏万物，深山孕仙草，整个山坡只长一株，有着百年历史的土甘草，大家一定要认识一下,https://www.douyin.com/video/7376107423976705331,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogq2EBAFLIv1y7CA1XBuXPQmfwZeDfpCGV3Ma6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=OZaHpMEbVCrM4I2yRUQ%2FnVCNHlw%3D,1272,153,45,127
全株没有叶，就像筷子一样插在土里的天麻，你的家乡有吗？ #大自然的馈赠 #植物科普 #我的乡村生活,https://www.douyin.com/video/7372768195733687602,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osFRepgUfAEyIRZXBB9m3aBtViADiAmrGV3IB9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=9%2FUQymmUq19B4dIl6DeWkl2Z2Yg%3D,15000,2042,1650,1258
#创作灵感 #大自然的馈赠 #植物科普 经常咳嗽的人，这株植物一定要认识，它就是贝母，你的家乡有吗？,https://www.douyin.com/video/7370997891382447397,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oApNnAf7DSIAeC9dAigjEBFE5Kxz8mL5DSAwBj~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=YR6xV%2BqZ3h%2FG%2B3K4tV%2FAItW5cZ8%3D,6424,310,817,188
浑身长满尖刺，确是天然的植物肥皂，皂荚，你的家乡有吗？ #创作灵感 #植物科普 #大自然的馈赠,https://www.douyin.com/video/7368781698571586853,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogsQgUQI4fqVAGmov8yFAQDzGnSfbdA69CBtyD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=2IRnKGnUR1jmPkZ3%2BWoGcVvZSxA%3D,4949,509,500,213
#我的乡村生活 #植物科普 #三农 二月吃野菜，五月吃野花，好吃又有价值的，槐花，大家一定不要错过,https://www.douyin.com/video/7368433997929598245,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0nTB7b9BVreMeOB2IDCAAGeDgIB7ESA7ZtTxw~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=4ROC%2BiHwps4UBWmGChL8L2Du4oQ%3D,2520,177,230,228
重楼分两南北，今天介绍的就是，北重楼，大家一定要认识 #大自然的馈赠 #植物科普 #我的乡村生活,https://www.douyin.com/video/7367310324111838474,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAViI7FDfHIue63YAzBQ24ceDbpFeiDMCnGEAO~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=D%2BaRAQ4DzflzP08ag8tqb2gVvUE%3D,3211,160,183,81
