Title,Title_URL,Image,likes,comment,收藏,share
阳春砂仁 #乡村味道 #记录片 #探秘 #阳春砂仁,https://www.douyin.com/video/7132442642834591006,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/579e117938394a828798d11e9af2cdfe~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=fdDFrmOk2llLyGVkXEwJWM74d%2F0%3D,851,20,41,30
广东化州橘红 #广东 #化州橘红 #科普知识 #水果 #柚子皮 ,https://www.douyin.com/video/7109431475510021413,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/51d739f80ea648f0a555b14cbf882231~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=RtFoA3ec9HlFupzIco%2FPDycmGXE%3D,720,23,46,80
三十年林下参种植计划 #人参文化 #林下参种植基地 #三十年前vs三十年后,https://www.douyin.com/video/7112775108359458078,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/436df8151ad943f0a108d30d4c2f8275~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=lxuPKCwzL%2FsmLxt5bz8RuCFsllE%3D,1254,20,40,21
宫斗杀器麝香是怎么来？我们拍摄记录了原麝、马麝、林麝三种麝 #麝香,https://www.douyin.com/video/7372530734491405606,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/a77a647fff5d4711947659ca5c619379~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=6LWEU6Egj2RmVwahCORa7uANz5c%3D,1235,130,136,90
【一年四次入蜀，花费十多万，只为拍摄白蜡虫的一生】·虫白蜡 #四川文旅  #四川观察 ,https://www.douyin.com/video/7362144357526424859,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/54e3bded2bb54a238cf20131cf362c9a~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=5RUpBCUFz%2Fjv%2BGoIegFJ98YVFcM%3D,2047,186,227,77
川杜仲以产于大巴山山脉及娄山山脉者品质最优，为道地药材。我们此次来到贵州娄山山脉拍摄生长40年的杜仲采收与炮制,https://www.douyin.com/video/7348970865750543627,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/d206172da5de475ba807fa1e02275afb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=fhzKG5O9bB6sLp%2B2c4EKOtujLyA%3D,116,19,12,111
菊的种植繁育与杭白菊的采收，制作胎菊、朵菊，菊饼。,https://www.douyin.com/video/7332442103680666934,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/bc2c350efb214be6855c661b91346075~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=tigx2Zd6FK4e79d8kHntkczPiJQ%3D,2992,18,231,40
【种植30年的厚朴树林只为今天取皮入药】采药炮制·厚朴 #我的乡野山居生活 ,https://www.douyin.com/video/7307587067561790757,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/7559ebd928af41d58e4c3b67aaaafc14~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=T6NA14oUKFeswQmeEv%2FCInu%2F%2BzM%3D,4536,132,218,76
 #天麻 #云南耗时3年，云南小草坝天麻才能长好。视频前半段是天麻生活史，后半段是天麻做的各种美食。,https://www.douyin.com/video/7284208655367507241,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/oADkqAYUXCAO7DQlAF8bACgsVfqA5GIfRAnsAD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=kXLJ9%2FUOibXist2Wkptr9n8qGqg%3D,2053,23,100,33
浙白术的采收、传统囱干与四种炮制 ,https://www.douyin.com/video/7279647344553921847,https://p3-pc-sign.douyinpic.com/tos-cn-i-0004/og5vyAIJIAzmQtAEEnAABFTFlBfAIgKhqA3rtA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=VcHcrSLx3c9MZCXyAx1nIZcReQw%3D,1117,163,112,82
