Title,Title_URL,Image,likes,comment,collect,share
苘麻又名车轮草、磨盘子等，村里人常常采收它成熟的果实装瓶保存。#dou来广东百千万 #三农 #植物科普,https://www.douyin.com/video/7377044660054773027,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oc3eM8nfMB2MWntBbCQHQgQHwCEgFgzAAf790A~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=P5eTD0oaWw85d0Em6XuWrLOebrs%3D,5221,465,1508,596
柳树含有促进植物生根发芽的水杨酸，你的家乡还有柳树吗？#植物科普 #dou来广东百千万 #三农,https://www.douyin.com/video/7376677275569229096,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogffAvMEXQMSW6VHHE8C7VF0PeTROnBjAQBYwI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=wb5ukAIlc5vSKlrOXqUMaeVcvy8%3D,4801,185,1681,748
粤菜沙姜鸡就是以这种沙姜为佐料，你的家乡有种植沙姜吗？#植物科普 #三农 #我的乡村生活,https://www.douyin.com/video/7376303572369165603,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMMup2E5Ige7C3PBElJd6BAMD7FR5Ef54AeDQE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=lIxBa2jgUuugQBfq7ZuVGKJHKNw%3D,5685,928,1446,1013
这种挂着小灯笼的植物叫苦蕺，又名灯笼泡，村里人喜欢采摘回去晒干。#植物科普 #三农 #dou来广东百千万,https://www.douyin.com/video/7375935378479451427,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813c001/oYZgakl2AWYAJrCm9UaCA2eAjEIoEAFcABAXfD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=lPHrKEGP8B%2FT8%2FtWRhc%2BvRG4n0w%3D,3918,479,873,363
这种植物铺地而生，它就是地锦草，村民把它清洗干净后晾晒干。#植物科普 #dou来广东百千万 #三农,https://www.douyin.com/video/7375561955005844771,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8tABKmIbEED0BMQgDCp0fE7FAA99DWeTYSlIE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ctWmdlDyfPDgULgqjNdcpTSPOLg%3D,13000,454,3661,1009
龙葵根你了解吗？村里人会把它剪下来晒干储存。#dou来广东百千万 #植物科普 #我的乡村生活,https://www.douyin.com/video/7375191001742249216,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4PLeDErI82I6It7eeoYzQeWZlM4uGtlZGIAAC~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=EI6xFMUQN2WYgGMQzbhFLEttk9M%3D,4446,556,1148,493
农村墙角边的小叶冷水花，你认识吗？村里人常常采摘它回家。#dou来广东百千万 #植物科普 #三农,https://www.douyin.com/video/7374821908547669248,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0fBSKLsWIG7PmLAISlAeeIOMxQg7quBELvUQC~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=qyDeOQ8DhHKFEpaO9Z2SZlEZPeM%3D,2562,528,476,276
农村路边的小蓬草，村民偶尔也会采摘一些回来晒干。#dou来广东百千万 #三农 #植物科普,https://www.douyin.com/video/7374451350379236643,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ooHkEgFgHoC1ElUXADDAIAVe9LmgUBpAN1Eufd~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=UiXBcHevtFYLPF7dZxk3Ck4uTgc%3D,28000,9815,6501,3484
瓜子菜的学名叫马齿苋，村里人采摘回来晒干。你认识这种植物吗？#植物科普 #三农 #dou来广东百千万,https://www.douyin.com/video/7374093898530049314,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEdIYERAPwCgEJ1HAZnRmPuQ9DWKiilUI2B2i~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=Oqos8tiEBZiEJnwtBjIKK04bMcM%3D,9238,612,2258,887
白花败酱草又名苦斋婆 ，村里人会把它采收回来晒干。 你的家乡还有这种植物吗？ #植物科普 #我的乡村生活 #dou来广东百千万,https://www.douyin.com/video/7373707503453867299,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o4Q9kVECqASrEpCfA9vxVAgIDfAbFAASQCAmKQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=LU6tC0RzDRmI9uK0bRKmzn5MUtY%3D,1622,137,384,194
