Title,Title_URL,Image,likes,comment,收藏,share
兄弟们都在喝的 #覆盆子沙苑子山茱萸桑葚茶 #养生 #沙苑子 #覆盆子 #山茱萸,https://www.douyin.com/video/7360664102882053402,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/8da5847e584b4af0a6bdf79db6ca6158~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2Bw%2FMAX4fwFkMDSFsVgO0i2lnTH8%3D,35,3,17,6
覆盆子山茱萸黑桑葚沙院子茶 #覆盆子沙苑子山茱萸桑葚茶 #养生 #覆盆子 #山茱萸,https://www.douyin.com/video/7360984420242820379,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/4f3ae442e50d40dfbf03355ab36507b7~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=J1Yu1ru%2FuAXNxourAqWR2KBV1GU%3D,109,7,96,18
芫花 #中药材 #中草药 #识百草 #一日一植物 #奇花异草,https://www.douyin.com/video/7376476654559841548,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ac106a5716ad439ab2da4b1b91be01c5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=OVrKoCVt43fkFD6JaEWd0Uf8jH4%3D,13,3,2,0
大戟 #中草药 #中药材 #识百草 #一日一植物 #奇花异草,https://www.douyin.com/video/7375037227904093503,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/91f2553b46b54ab3870260ef33dac3a5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=0deEWHH%2Be9jBkFxGUiMNA6EvoaM%3D,18,4,1,1
酸枣仁 #识百草 #中草药 #中药材 #一日一植物 #酸枣仁,https://www.douyin.com/video/7373862439084985638,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/5afaf0e9a969425b89663e5aac2d15ef~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=YtzbT%2Be3m3JfZZk5YVRVQeFz4JA%3D,58,5,16,2
金樱子 #识百草 #中草药 #中药材 #一日一植物 #金樱子,https://www.douyin.com/video/7373217157460643099,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/158b2520fc54454ba6f3eb6fb95ee734~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=sVAVVpecHNRO4MBgtIQO1NADvKk%3D,46,3,16,7
蒺藜 #中药材 #中草药 #识百草 #一日一植物 #蒺藜,https://www.douyin.com/video/7372474086397644059,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/505dc40a6c3141fbadd355e19a03f0c8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=Ncz%2BU6RaJ9sssg87uAbR3hpcGyA%3D,141,9,46,6
荔枝 #中药材 #中草药 #识百草 #一日一植物 #荔枝,https://www.douyin.com/video/7371350913212108051,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/78b647b3f9654573bb0be42621a45054~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=JVUppvznpmclrfPPkpQJ4sAN4cM%3D,19,3,4,0
地锦草 #中药材 #中草药 #识百草 #一日一植物 #地锦草,https://www.douyin.com/video/7370733864299351335,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/97448ba5525c4b14ba0217d35466002e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=BZ7s3JBeuF5Lt0iteAFNr7jDGWo%3D,49,6,16,0
地黄 #中草药 #中药材 #识百草 #一日一植物 #地黄,https://www.douyin.com/video/7369399834685508883,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/3e3bfa1745cd494f9ed8504d87dda652~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=YZP6I6VA13rdGu3ae2A4kOc2rM8%3D,25,3,6,3
