Title,Title_URL,Image,likes,comment,collect,share
今天带着大家跟着我的镜头，一起学习下生活中常见的草本植物。#益母草 #桑葚 #大自然的馈赠 @抖音小助手,https://www.douyin.com/video/7372864212282002715,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocAMLzNBR0ZiAVieiOIER9ADRrgfwB1RV1KEPB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=K4yde3Z174cWp0zlWcKYDG2qWJY%3D,15000,554,7266,1902
小时候偷着摘蛇莓，经常被妈妈打，她说蛇莓是蛇吐出的口水长成的。长大后通过学习才知道，这其实是一个善意的谎言。你的家乡有蛇莓吗？管它叫什么名字呢？#识百草 #蛇莓 #大自然的馈赠 #你的家乡有这种果子吗 @抖音小助手,https://www.douyin.com/video/7350910372347415846,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okX6C6gUND04tQEmAyGHQXIHbxAQfBADVnT9Ae~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=SYfM%2FeJGQISNrHmk9b8qHlqfGgE%3D,129000,75000,19000,25000
今天和大家一起分享下农村常见的各种中草植物，你还能认识它们吗？欢迎补充。#识百草 #地黄 #蒲公英 #大自然的馈赠 @抖音小助手,https://www.douyin.com/video/7366942129676946726,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYhEtgtgAzoH0DN81XfwgBIheAH8DgdtAIBzbl~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=nlrJsnlkTakJ3k%2FEiNO225SY4M8%3D,39000,1322,37000,9373
这些农村经常看到的草本植物，大家都还记得吗？#大自然的馈赠 #识百草 #枸杞 #桑葚 @抖音小助手,https://www.douyin.com/video/7376954107866680627,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oY03jZLIPAWmiA3iaABwzwIwmCQ9gxNHPDmuE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=0spcpAE51UWtalkXL2rqrCfDtvE%3D,3921,228,1126,396
今天给大家科普一下农村经常见到的各种植物，不知道大家都还认识吗？#大自然的馈赠 #黄精 #艾草 #植物科普 @抖音小助手,https://www.douyin.com/video/7376234473756560666,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oULLBf7LAizDIjpanBzgiBLdExetA2ZGhAY8PS~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=3f2QJ1UwpLIWCqd8m0c2x0w8HGA%3D,17000,798,6885,2400
又到了一年一度的端午佳节，又到了悬挂艾草的日子，大家都准备好了吗？#艾草 #端午节安康 @抖音小助手,https://www.douyin.com/video/7375857709117230345,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocSc8U8Ez99fCIwElBFmATBDgwD7PAF4fEXAEy~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=oh8HMTJQ4Mv0aiDGDMCfVVcnFkA%3D,896,26,140,74
今天真的是太幸运了，咱们在这荒郊野岭之中发现了一大片何首乌，大家看，它像不像人形呢？#大自然的馈赠  #何首乌 #新农人计划2024 @抖音小助手,https://www.douyin.com/video/7375491294770072870,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oULtGe8bBIFGQJBC1GMALCf2Ie7gAgpkiBaBVB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=pcfbLhNbFeX%2F5uR3dPe7Nf0f26U%3D,2243,215,401,114
这些植物都是农村比较常见的植物，只是现在很多人都已经忘记了，大家跟我再来学习一下吧。#大自然的馈赠 #地黄 #黄精 #植物科普 #新农人计划2024,https://www.douyin.com/video/7374373020959280394,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okRkIDC7IDATCLVcfwFmA9mGtApghBTVQpfGXE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=dQYgbN8hFzqMgoZRtCFOKdnhafY%3D,74000,2903,75000,46000
在这片富饶肥沃的土地上我，孕育出了各种有趣的草本植物，下面大家跟着我的镜头一起认识一下吧。#植物#黄精 #百合 #大自然的馈赠 @抖音小助手,https://www.douyin.com/video/7373619749776870683,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMfzC6e5ASBKyUui4Xi2lEABAvqjIgB2iPDDIA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=zDdi65yTURHYcmm%2FicNMXIvVG0Q%3D,12000,400,5850,1396
这些农村常用的18味本草，你还能认出几种？#萝藦 #识百草 #大自然的馈赠 @抖音小助手,https://www.douyin.com/video/7372129247772658970,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owIJ1BbuPkm8zPDZDiIQYAiE8PwPEg69AiCEA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=um2ZkhmyLa9QidOMY8T%2Be%2Ff5vA0%3D,11000,593,3917,1287
