Title,Title_URL,Image,likes,comment,collect,share
这种植物有多少老铁认识的？#植物科普 #你的家乡有这种植物吗 #乡村生活记录视频,https://www.douyin.com/video/7376603440870329637,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o80DvDVIWsFvAtsfAgre2Cmc9i9rXAY8EQPBFX~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=gF34z9FC97UTj11kdVpg7tM03j8%3D,109,11,20,3
#你的家乡有这种植物吗 #植物科普 #一日一植物 #识百草,https://www.douyin.com/video/7376236059597770020,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oM0AsdeE0aEkuv6MAdCI7pfFVfpyAhBGBDQCA1~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=TaKiGbexYvCP6uI78i7y5whJcXo%3D,223,10,66,12
红杆的的确难找，你们家乡有吗？#植物科普 #识百草 #你的家乡有这种植物吗,https://www.douyin.com/video/7375839743189306660,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEFiEP9zEAyADZXBCcUBfA19eLAiD2DgsQ6mIo~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=XsrlJhmwbNf6MGhweQaIWSjG5kU%3D,232,22,50,8
核桃很多人都吃过，却不知道它的皮也是个好东西#你的家乡有这种植物吗 #植物科普 #常见的中草药 #原创视频,https://www.douyin.com/video/7374378421385743657,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIIBzKB2cPl4ABHpcLbAKs5AihDiXs2EagfieD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=zzZH%2F5REat6Hvzzkx5IwP8MFxKI%3D,105,7,21,1
很多朋友不认识绞股蓝，经常把乌敛莓（母猪藤）当成绞股蓝#植物科普 #识百草 #一日一植物,https://www.douyin.com/video/7372787143523061004,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/osQBiBo5LA3OsZLRECCuifD6DZK2zIArNAqegH~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=k1P84vDZNCnw3TeLBKwhOR%2F10%2F4%3D,222,11,105,14
#你的家乡有这种植物吗 #植物科普 #大自然的馈赠,https://www.douyin.com/video/7366501679681899812,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8UIgVHEOakEAQzMlfYhAKhR7zPkt7AbeCBk4D~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=GT%2FN8WYzBWm5PZs%2F1zOWowmXVVQ%3D,434,18,157,25
#常见的中草药 #一日一植物 #植物科普,https://www.douyin.com/video/7364718349219155211,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYk07PgIhjzAGDzflRBOMzv4HDhAeACWELF0tt~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=4jrroLCjThtvCTOOCLpubz8gvEM%3D,176,10,56,8
#常见的中草药 #你的家乡有这种植物吗 #植物科普 #大自然的馈赠 #一日一植物,https://www.douyin.com/video/7364245741495274763,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813c001/o0AAdozQfAuCGDzAAeqEACkAXOaEIDANgzYN9h~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=mug7oBJes0ExAjmUcsPCTn6tkZo%3D,244,23,80,21
#你的家乡有这种植物吗 #常见的中草药 #植物科普 #一日一植物,https://www.douyin.com/video/7363959859357699369,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oUBPCLzAEfAVIlCGAAhDACAAAHQhNeXyz2oAgP~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=5plU6Jv4XCHB35TFtRtMNHnWZiM%3D,520,45,195,35
#植物科普 #一日一植物 #常见的中草药,https://www.douyin.com/video/7363236003928231231,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4SLDQEgn7zg3B8igDbFAfOwW8yihmAAL0w9Ie~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=d9pQmDOeF2NQqSV55OTyCBsbQKc%3D,236,11,58,7
