Title,Title_URL,Image,likes,comment,collect,share
写草药的歌《韩信草》#新农人计划2023 #原创歌曲,https://www.douyin.com/video/7295146065307733283,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMIzynBBg2tsABiipUgAkyAAhwNM9TdEIgtfek~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=mk%2BeENvtsbTjT5zqBzcj6CP12Zc%3D,856,74,100,31
看袁隆平院士纪录片有感而发，写了这首歌#新农人计划2023,https://www.douyin.com/video/7268835151344323875,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4b4nbAZADHDIxFCPEkgeBSgEO9BAlKtvAdTeV~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=fyf3OGuASWhKb5fX7G7QvpEQgC8%3D,1141,91,55,22
我的童年我80年代 #祝孩子们六一快乐 #在抖音照亮孩子的好奇世界,https://www.douyin.com/video/7239114833814162723,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQ28gdzCzIkufhLfVDNB9AvnJJv4gnARAhArOE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=1CLwjmVz42zlIStplgA4lnbto2Q%3D,7567,698,240,120
野生葛根为什么又叫柴葛？ #大自然的馈赠,https://www.douyin.com/video/7376796391441468707,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYAnAAUmDEDE89yQVgffBFpX6D9lT6Ihxj3H5g~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=r79LRItxyopdyFtRWkT9Uo5VsbU%3D,158,6,14,4
霍香蓟和捕食螨的故事 #新农人计划2024,https://www.douyin.com/video/7376423527634783528,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oEGBBvVGJQAKMB7fkepR88EDeAQzLCMSMIh7PW~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Jt1B3rPMU6CdApHwb8bLgqUnMK8%3D,347,22,32,13
决明子小时候长啥样？ #新农人计划2024,https://www.douyin.com/video/7376048571109444899,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocFFfQgB5bZAuiYfh6I0ELcD2CSGaApMeIey5V~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=rOteNUOaUPCelBp2QEfAUphLuiE%3D,568,33,57,17
野生灵芝生长分哪几个阶段？ #新农人计划2024,https://www.douyin.com/video/7375687304238714147,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8SGmBeIIAtJMteGKQCi7EAD2VINLgBfGxx2tb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Tc3am17DsiKnZryGax4tcSmy9DE%3D,730,24,66,34
野生山药的三大价值 #新农人计划2024,https://www.douyin.com/video/7375331513052744975,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8pXIxQiZvhPxB8ZN8wPdAIyawlCEwppAciMq~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=WDTWF1l60wQutLWbqahqU703vDU%3D,1065,45,174,58
鸡枞菌名字的由来故事 #植物科普,https://www.douyin.com/video/7374957461683326243,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okBDedBHLRIf5mGgZjv9DxViBc3iEAzQAIgAM7~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=hi3OLY7hNbHo9iPn8uSzirZhoGQ%3D,701,45,70,43
发现灵芝的地方可以连续捡多少年？ #新农人计划2024,https://www.douyin.com/video/7374594824147586356,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osqPfABVo0FAvi9ymuLqlCDAgEZXB0iIUozei6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=p2YEvh52iBwgVPLmq5iL7n%2Bk2l8%3D,1146,85,82,52
半边莲生长在什么样的环境？ #植物科普 #新农人计划2024,https://www.douyin.com/video/7374203474541645056,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/owW1gKBCRIzPilPdEDfBe96Nw5m3bzAMAiAp7E~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=RIxkg2hwZ316T8O4XpVlqFmYPaU%3D,2152,96,575,173
带你参观瑶山两处简易工棚 #三农,https://www.douyin.com/video/7373812832623676712,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUgBQQp3qjmACeQF6qExBFVA9A3DPguDJIfq5H~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=wT12i44%2B2wVZFU%2Bwuk0vUR6Z69s%3D,485,17,29,12
以前看到网上有的地方的山像睡佛，今天我拍的这个远山，感觉也有点像。,https://www.douyin.com/video/7373664771297545512,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0ImBpeEEwiFJKCA9gIIVwpc9TugDAC0AfCQJD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=kusEBIScZzt67avhxlopfJzSM3I%3D,119,3,2,1
土茯苓有哪些特征？土茯苓怎么吃？ #大自然的馈赠,https://www.douyin.com/video/7373466423512829219,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAGn4GqjQCfptIIiWe7oBfgBVFrm6AwnH8AgLM~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=lRrE1waB0BVv7nmhqyX76SzKMkI%3D,420,8,60,30
