Title,Title_URL,Image,likes,comment,collect,share
这些中草植物你都认识吗 跟着镜头一起认识我们身边的中草植物，你们家乡都有吗，叫什么名字呢？#识百草 #植物科普 #三农 #地黄 #蒲公英,https://www.douyin.com/video/7376971638199307532,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oEgjnFC9DDmBYOASRgAfAkJiEf3c5yAEq8IAEA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=GK5w1n520b9qiZid4FxkuCPLo4M%3D,2175,116,1134,213
黄精被称为仙人余粮 黄精，被称为仙人余粮，是非常常用的中草，当然了它的价值也是极为珍贵的，都说家财万贯，不如黄精一两。如果在野外遇到了，一定要珍惜！#植物科普 #识百草 #三农 #大自然的馈赠 #黄精,https://www.douyin.com/video/7376600389371710731,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oALXvANyeAZqEFxAIrBeCs8QYheeQqeAHPAAIG~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=FQlqbodR5dFAZzCl%2FSS4L12GvsY%3D,5957,607,2733,600
你知道吗很多中草同株不同性 我们常用的中草，有很多都是来自同一株植物，且名字和价值各不相同，一起认识一下吧！#大自然的馈赠 #植物科普 #三农 #识百草 #中草药,https://www.douyin.com/video/7376230445265980713,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oEE9ucIdhBXGAbDeCgfBFnADAKEboAXFAaXmoA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ZWW%2BwK9rvay%2FwqCzCMd22jKa4MQ%3D,3194,134,2157,534
马齿苋是药食同源的草本植物 马齿苋，又名马蜂菜、蚂蚱菜，五行菜等，虽是田间一小草，更是很有价值的中草植物，你们那里叫它什么名字呢？#识百草 #三农 #马齿苋 #植物科普 #大自然的馈赠,https://www.douyin.com/video/7375859479973285131,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/ogevBAfDGI3o71MBZoxiCuKK4EjA9EIAFAAfQA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=jo%2BebzEPO08h7PWiwQKe28ssRNE%3D,1525,502,328,250
天门冬一种很有价值的中草植物 天门冬，是百合科多年生植物，以块状根茎最有价值，如果在野外遇到了，一定要认识一下，这可是张三丰特别喜欢的本草！#识百草 #三农 #天门冬 #大自然的馈赠 #植物科普,https://www.douyin.com/video/7375487340271258916,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813c001/oQKfSAAcZFCdf2BrIBLIA0GtDaA2n0AgQyeiMf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2FOPbmJUq6bUlARC9ST9%2B52pHY24%3D,8466,860,3074,744
艾草家家户户都有的中草植物 艾草，是菊科蒿属草本植物，全株都有浓烈的香气，每年端午节家家户户都会挂门口一把，端午节马上到了，你家的艾有着落了吗？#识百草 #艾草 #三农 #植物科普 #大自然的馈赠,https://www.douyin.com/video/7375116327372999977,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813c001/oUmsAD0EuAFaAacfAgzZCDmRrB9wWAiMEIfCAw~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ce%2FeLtYgFts%2BHF%2B1%2FzcWuVaA7sI%3D,863,69,217,116
这些中草植物都认识吗 我们身边花花草草很多都非常的不错，让我们一起学习各种中草植物，如果记不住可以收藏起来！#识百草 #植物科普 #大自然的馈赠 #三农 #地黄,https://www.douyin.com/video/7374745163094150411,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/osZEYCIAPiZ0BTiFbJAXAI6hWwpAgRvsBAYQl~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=321BDN56%2Buza6t1Wyi2WZ45xzbQ%3D,1428,101,860,166
你那里还有节节草吗 节节草，别名木贼、锁眉草、笔杆草等，是木贼科木贼属多年生草本植物，小时候河边很多，现在基本上找不到了，你那里还有节节草吗？叫什么名字呢？#识百草 #三农 #节节草 #植物科普 #大自然的馈赠,https://www.douyin.com/video/7374373910659271975,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o0gPIGUfVMAeE0ArAhWsB7MACBFACEurQe8nuQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=0VbABGxR%2F7%2BtG8ir%2FKZLXGWQqAk%3D,2091,594,521,192
苍术值得我们每个人深入了解 苍术，又名赤术、山精、仙术等，是一种极有价值中草植物，野外见到了可以挖一些根回去。你知道它的什么价值，可以分享在评论区，大家一起学习！#识百草 #三农 #苍术 #植物科普 #大自然的馈赠,https://www.douyin.com/video/7374002953687928075,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oMI9zVEBXAM2KVDJAuiSuagEDfAsFAAf6CAmbI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=6BD3WxouiPqi7p7Ikcl55fpUvTI%3D,5375,336,2518,438
兔儿伞你那里叫什么名字呢 兔儿伞，又名铁灯台，是菊科多年生草本植物，是一株特别可爱的植物，小时候的作文里总有它的身影，其实它也是一株有价值的中草植物，了解的评论区分享一下吧！#识百草 #三农 #大自然的馈赠 #植物科普 #一日一植物,https://www.douyin.com/video/7373631727811546379,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/okvAAKeDmIAjNA9xWhZNUvArYgi6TCBBzELeAi~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=U65DhFqQ1YqP6UwxTTA28S%2BFq4w%3D,4051,233,2375,430
