Title,Title_URL,Image,likes,comment,collect,share
乡村#识百草 ，认识都是宝，快来看看你都认识那些吧#植物科普 #中草药 @抖音创作者中心 @DOU+小助手 @抖音热点宝,https://www.douyin.com/video/7376933278319758604,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAemYCDTEABEB5ljfAAgIvTFvCgBmvLHcQ89DI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=mY820ZO6TaoUKDBY8h3pZs9m7SU%3D,768,15,247,52
乡野识百草，认识都是宝 快来看看你都认识那些吧#植物科普 #中草药 #大自然的馈赠 @抖音创作者中心 @DOU+小助手 @抖音热点宝,https://www.douyin.com/video/7376563203418934540,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o0iIBiXqILAfYvDAQ7pGGlrAa50aGdMesB9eCT~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=UnPbecsdvmL7D2TPYGIP8zvjNxI%3D,900,15,410,94
乡村识百草，认识都是宝 快来看看你都认识哪些吧#识百草 #中草药 #大自然的馈赠 @抖音创作者中心 @DOU+小助手 @抖音热点宝,https://www.douyin.com/video/7376188224068242727,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIb61jA6eAIYsfSXFGsyfCIqfIEYLH0IBeQQ38~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=OrgIs3dZHuYqH8cReK8TAtdQgCE%3D,1467,20,591,201
乡村识百草，认识都死宝 快来看看你都认识哪些吧#识百草 #中草药 #大自然的馈赠 @抖音创作者中心 @DOU+小助手,https://www.douyin.com/video/7375818889956953398,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oojAZqFXyIDPHsEAwyMgfXE3m4Qe9I5ADOHCWB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=sPv2y2z9CiToQCZCGhqXFq%2FMUhE%3D,478,6,220,48
乡野识百草，认识都是宝 快来看看你认识多少吧#识百草 #中草药 #植物科普 @抖音创作者中心 @DOU+小助手,https://www.douyin.com/video/7375531298938473782,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oojPCvBvQbIHw05CpIvAq1mmslQJEA5iPiZs7~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ASdNOV7BcwzB8S0pqk9SV%2FMdb6A%3D,15000,373,9432,2037
乡野识百草，认识都是宝 这些农村常见的本草植物，在野外你认识多少#识百草 #中草药 #植物科普 @抖音创作者中心 @DOU+小助手 @抖音热点宝,https://www.douyin.com/video/7375103667415911734,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQDBLNXA1NrBtu1IBrEec7fCAZAiZoizgEOIKA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=YcMrGpoSFRa1Hg7c9GtyZVa8DRk%3D,561,15,172,68
乡村识百草，认识都是宝 快来看看你都认识哪些吧#识百草 #中草药 #植物科普 @抖音创作者中心 @DOU+小助手,https://www.douyin.com/video/7374701273938922793,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ostArOmNBM9iEzwAFDAJUEIDYg9DWmeBFifv8u~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=89qrQi8EHVzFo1NyaLia5qydwDQ%3D,730,16,337,79
野外识百草，认识都是宝 快来看看你都认识那些吧#识百草 #中草药 #植物科普 @抖音创作者中心 @DOU+小助手 @抖音热点宝,https://www.douyin.com/video/7374331334216469799,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okfw2D0F3zG2Egi74UDiTAmBB1y5KIeWF9DABA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=qQzD%2FuWBnCUgpaZykR5ytaaxJmc%3D,1270,25,533,162
野外识百草，认识都是宝 一起来看看你都认识那些吧#识百草 #中草药 #植物科普 @抖音创作者中心 @DOU+小助手,https://www.douyin.com/video/7373965918474390825,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oUzsddDqIFAbQgBVAFEDelA8AyZJf96VmtvhgE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=P2Wvss91npapqivWwFnijsvGIoE%3D,896,30,352,90
农村识百草，认识都是宝 快来看看你都认识那些吧#识百草 #中草药 #植物科普 @抖音热点宝 @DOU+小助手,https://www.douyin.com/video/7373615294713023756,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ow1MJ9eVeAK4C7oEAIFqqWGDrf19iBKEBBCVUQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=4og%2FMJ1Wx96uimWblUr6MEtxFts%3D,654,12,255,69
乡村识百草，认识都是宝 快来看看你认识那些吧#识百草 #中草药 #农村生活 @抖音创作者中心@DOU+小助手,https://www.douyin.com/video/7372863284459932940,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMolOiDFURaZvwgBVI8xAc5KrriCACUIQzGPE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=MMnCjTF8%2BHINK56j9EWf0X9DDio%3D,946,17,410,126
野外识百草，认识都是宝，快来看看你认识那些吧#识百草 #中草药 #农村生活 @抖音创作者中心 @DOU+小助手 @抖音热点宝,https://www.douyin.com/video/7372473881447189801,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oANoGeTrBIAGQfk9eDMALCHgIa7JAjcsSB1zLl~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=cD6GR2XClmAwr%2FCKkls3CTQYPOI%3D,822,13,326,95
