Title,Title_URL,Image,likes,comment,collect,share
大山里的植物：蛇包谷，蝉花，葫芦藓，野山葱，虎掌南星…#识百草 #大自然的馈赠,https://www.douyin.com/video/7370287011674033434,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/o09jbAnS2hxAQe9dmoWVSCCAgE3IBlhIB1KIDe~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=%2FcgbTjcZDnrz%2BgPGo2MIn7bD%2FIs%3D,53000,1816,32000,8141
天麻，别名：赤箭，定风草，又被称为“天赐麻神”，因其独特的价值，自古以来都备受人们推崇…#天麻,https://www.douyin.com/video/7352368782100155686,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oYgA1hG2zAAs3B9JAzCKA3BBfA4ECIteHA31IL~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=jcDAAq8no0fMnkgsOxXg8NnsUwI%3D,74000,5516,23000,12000
皂荚树全身长满尖刺，尖硬如钉，被古人称为“天丁”，你的家乡有这种树吗？#皂角刺,https://www.douyin.com/video/7353110994211605798,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/o4BrAMvEtqeDBce7FKQAdSAG8fAbiEDWAAFI4n~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Efz8KFsX2cOp7s2QFjN0hnLZfRc%3D,25000,3547,5208,3456
刚刚发的认识植物视频大家说太快了，说还想看这种问答的方式，现在发给大家，谢谢你们的建议和支持…#识百草 #大自然的馈赠 #你的家乡有这种植物吗,https://www.douyin.com/video/7375882171480853811,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ogI9UCmAGy0brzdcDAEZeXFZtSCBrgfuEZARjc~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=FY3LVJArGn8BA7mPIEXMnS5FekQ%3D,13000,376,6935,1921
猴哥带你认识植物：白首乌，枸骨，十大功劳，赤灵芝，茜草，扁蓄，合欢，商陆…#中草药 #识百草 #大自然的馈赠 #你的家乡有这种植物吗,https://www.douyin.com/video/7375493182202694963,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owElvlPBObA95A1ImZbIslg1MtIjCDwiA5BiQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=1xL7wXzuGIeCP3v12AICEWiHUP4%3D,5556,251,1982,619
路边的草都是宝，带你认识乡间百草：葫芦藓，刺柏果，侧柏果，独角莲，山丹丹，预知子，树莓…这些植物你见过几种？#识百草 #大自然的馈赠 #你的家乡有这种植物吗,https://www.douyin.com/video/7374736316686208306,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oUwYkvgWfAEQKOBYAD9m36CeUEACFAAUNFAIuw~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=0uWx5af5X9q9HWur9ur2ZaXaWd8%3D,9133,367,3439,1026
草本植物是大自然的馈赠，也是老辈留下的瑰宝，带大家认识乡村这些常见的植物，看看你能认识几种？#识百草 #大自然的馈赠 #你的家乡有这种植物吗,https://www.douyin.com/video/7374370629220355379,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQ9C0ADkA41QHEhm4wCFEacVIBmfdzZuegDDAc~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=tE%2FsbM1MjXdzB9WwcSxNKTDaRB4%3D,10000,513,3864,901
地蚕一种叶子像薄荷根块形似蚕的植物，小时候最喜欢吃用它做的泡菜了，你还记得吗？#植物科普 #大自然的馈赠 #地蚕,https://www.douyin.com/video/7373988936823164160,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813/oYn5ArvEaiIHVAemAxAQ9VLFlfC6QJACADaCgK~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Xl9aKu58xpCABBJ2S88PUboO5%2FA%3D,2500,218,610,269
草本植物是老祖宗留下的瑰宝，跟着实拍走进大自然，这些植物在你的家乡有吗？你认识它吗？#识百草 #大自然的馈赠 #丹参 #草本植物,https://www.douyin.com/video/7373628013142871330,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oADxAEiAcQxqfFABNEefCw8zsDASE7AUoMIMAB~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=c%2FqVmiF3aAKzNnpiAvEPVFVgSp4%3D,3236,157,1131,394
乡间百草:百合，回春草，赤灵芝，绞股蓝，山茱萸，大百合，龙胆草...这十四种植物你认识几种？#识百草 #大自然的馈赠 #植物科普,https://www.douyin.com/video/7372516014745046272,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/okZAAwlBBQBciE2EAwQTtg4hPncIAPiIwg1TA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=jcAaIW4Ni0l1rsjWk9sbK3HOFBQ%3D,15000,440,5587,1820
跟着实拍去看看大自然的草本植物，看看这些植物在你的家乡有没有？都叫它们什么名字呢？#识百草 #大自然的馈赠 #你的家乡有这种植物吗,https://www.douyin.com/video/7371775658806086962,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8IedCzAuFG0JKJNBAEkPJi54pBBPgf1izAB0v~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=hwlldkZEeNtEOyvhVwFNOhnpJ38%3D,21000,932,11000,2390
今天带大家认识几种菌类，和一些草本植物，跟着镜头一起来感受大自然的馈赠和神奇…第一种有人认识吗？请告诉我。#识百草 #大自然的馈赠 #野生菌 #你的家乡有这种植物吗,https://www.douyin.com/video/7371399104850726153,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oseEuLLDIQqIAOMFdYefesjA2oixZGITCCrHEQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=zDgBpaKm4IPv66Ox%2F2D4b9fX%2Fus%3D,7519,461,2718,625
分享十七种名贵本草植物:灵芝，百步还阳丹，天麻，回春草，党参，牛蒡，绞股蓝...#植物科普 #大自然的馈赠,https://www.douyin.com/video/7370669585260940544,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oYEJIABA74pkATnMceBUbejz5DKB0DAAEdePEO~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=teTbpyxzHJQG3YxEGteSET9CXGM%3D,15000,909,8459,2150
这期给大家分享的植物，你家乡有几种？#识百草 #大自然的馈赠 #你的家乡有这种植物吗,https://www.douyin.com/video/7369178510952369458,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQEWCgnAeITANCrtNdEBAmzzCOSfhA3kBgnolI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Iwarb%2Beps%2FPCsOfJuYiF50fNJNo%3D,35000,1136,25000,5822
在美丽的乡村生长着众多草本植物，今天给大家分享野外实拍的十二种，看看你认识几种？#中草药 #识百草,https://www.douyin.com/video/7368815617006112015,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oIAPAbCInABm8AYAKDDS05EsQCCIxdegeq93rA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=a00hJ2QT3sgIyryHhA%2FcD2O60Hc%3D,15000,755,6215,1568
认识中草药挑战: 这十三种中草药植物你认识几种？在你的家乡都叫它们什么别名呢？评论区欢迎补充...#识百草 #黄精 #丹参#金钱草#柴胡,https://www.douyin.com/video/7368050534164499712,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/os8KAotzCEENeBzArkiVBIUEACuAbhlAfAA3Ig~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=QzZ%2BcHrT5%2Frw2I4wt84Pkve87AM%3D,3325,148,1553,444
