Title,Title_URL,Image,Likes,likes,comment,collect,share
这门即将消失的老手艺，价值万金，完美诠释了骨与木的激情碰撞 #非遗传承 #老手艺 #骨木镶嵌 #传统手艺 ,https://www.douyin.com/video/7296790289379888410,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/534666cc889c4bc7a656215fbef71120~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=CjKr5oOMCTqf8RCVoQyaI25uU3g%3D,13.6万,136000,4485,8892,6067
原来这才是传说中的金丹，浑身包裹金箔，直径仅有1毫米 #非遗传承 #药丸 #老手艺 #中医药 #传统文化 ,https://www.douyin.com/video/7320536189763718426,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/54167617fbcb42798b72f8fcf4664c12~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=DGNQ4yxr5AYRwb3lKp5wdP9Bj64%3D,6.2万,62000,3687,8895,5717
踏遍整片人迹罕至的山林，才能从悬崖上获得不足一斤，价比黄金 #石斛 #纪录片解说 #本草 #中草药 ,https://www.douyin.com/video/7321696438335966514,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/b072b730f97b4d6cbb8df6074faeaf59~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=tIJi%2FiITSSihSSljyugrD4r77Fc%3D,5.6万,56000,2943,5572,7157
冰箱都没这截竹子好使，穿越上千公里，依然能使荔枝鲜嫩如初 #非遗传承 #纪录片 #竹子保鲜 #荔枝,https://www.douyin.com/video/7376087992391224630,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/948803cbd4434ec6b25a1fe2247729cd~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=0VtFbb78WJkpglf965AYmFdvYX4%3D,2318,3244,99,498,291
用牛骨复刻一件故宫国宝，满满的都是细节 #纪录片 #老手艺 #传统技艺 #竹编扇子,https://www.douyin.com/video/7375784137845722431,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/c2dc1e7138ab4b8e80989adde7f0f44e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=F5G12notgo5DaG070Q2nLoG46rI%3D,4957,6034,151,993,308
用草木灰炒出来的豆腐，卖家竟然没人举报，反而趋之若鹜 #非遗美食 #灰豆腐 #纪录片解说 #老手艺,https://www.douyin.com/video/7375481457130736915,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/c4f2e23a44ad419d961360a869af14fb~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=UlFHQbbfS%2Bnti58Oo90JQbvN174%3D,2698,3868,142,646,158
老人家里的独特印版，与老婆一样概不外借，是仡佬族的不传之秘 #非遗传承 #纪录片解说 #仡佬印染 #老手艺,https://www.douyin.com/video/7375069660590476594,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/1a0434eee8cd4281bf4cf392cc4af3de~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=Yjji0m87wQ87ez8pw2vCDosmofY%3D,3333,4051,49,506,121
老人顶着满室的香灰，做着最虔诚的工作，然而这门手艺却即将失传 #纪录片解说 #非遗传承 #老手艺 #传统技艺,https://www.douyin.com/video/7374688813454724361,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/d52bedd9ece849e198de5881f9ddedb4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=vikVBZGRUqzfy553ecztZDkAtsQ%3D,2479,2632,66,358,91
表面包裹着一层胶质，口感像是吃鼻涕，却是国宴的常客 #莼菜 #纪录片解说 #美食 #一日一植物,https://www.douyin.com/video/7373620858859883786,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/eb052ca78b584ba6b35d8a2a8e032b01~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=PfgnjSjjt9Im9IDP293ABLZonqY%3D,2677,2792,86,398,173
据说这是最土的土特产，一口炒琪半嘴泥土，是山西面食的至高境界 #非遗传承 #非遗美食 #炒琪 #纪录片解说 #传统技艺,https://www.douyin.com/video/7373223312660466994,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/6c4961d2942a466daa5edca430add66c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=rqYACO%2FOG4CzabjSOhl2DmU%2F2hI%3D,3148,3238,154,584,490
苔藓族群中的另类，在微观世界中它反而成长为一棵参天大树 #纪录片解说 #一日一植物 #回心草 #中草药,https://www.douyin.com/video/7372124255556783397,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/9d5c1cc2c8af45b486ae93ee4d6f0453~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=dqi9sw%2Bo3H2W4rxXat3Uva4oVd8%3D,608,634,8,104,18
比黄金还要金贵的牛黄，竟然是牛的胆结石，堪称现代版的金丹 #非遗传承 #牛黄 #纪录片解说 #老手艺 #传统技艺,https://www.douyin.com/video/7371739384854449418,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/0d324013218a4ae69fbbab69fbf3d277~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=%2FNtXOvcQ65wnPifSFuxMK036HBU%3D,2421,2588,126,467,131
原来中医药丸是这样做成的，开局一粒药粉，药丸成长全靠四处勾搭 #非遗传承 #泛丸 #纪录片解说 #中药炮制 #老手艺,https://www.douyin.com/video/7371315311196310834,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/1cbf25c69b2a43f1ac9a8c09ffdbfe80~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=TEqOiB2xZPN3B3v99kb%2FJs2FeaM%3D,4944,5325,146,765,279
