Title,Title_URL,Image,likes,comment,collect,share
每月一次，男女生的必修课#科普知识 #动画 #看抖音涨知识,https://www.douyin.com/video/7306098260194626867,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/o0lZDIGeQAHICBuAInAIOAA2A9eacCb11gcnmD~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ihxg7kEChOArMmjB%2BEEWYrlec7Q%3D,5775,132,2744,3646
老汉一砍刀劈下去，竹子里竟然坐着一个可爱的小宝宝#动画解说 #回忆童年动画片 #童话故事#动画推荐,https://www.douyin.com/video/7340261833833467163,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/ocpdeup2yECAAAAJ2C7fHDyhIWzA9UAFigtnUQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=QAR97LsWg067NrGpiHkK%2BnYs7bw%3D,150,7,16,9
童年记忆中最可爱的一版《拇指姑娘》～#动画解说 #童话故事 #童年经典动画片 #动漫推荐,https://www.douyin.com/video/7338348854829518090,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813/osGIAAguDeAve1AgQ9vnCvhZwmGA1PluCAhbCt~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=%2ByCnucnWpxA1vHfxIX2XqVcfL%2B0%3D,247,22,35,47
老鼠嫁女的故事#动画解说#国产动画#动画推荐,https://www.douyin.com/video/7304253526094449958,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oc3Qg8E7EnKFuiBvrAAAAk5MQbAnheBDgegAeA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=40mph1xvddXb8KwkGpzT7OP9OYA%3D,387,6,58,44
这个男人真是奇怪，好不容易中了头名状元回家省亲却不愿摆排场，不仅谢绝了地方官赠送的银两和宴请，还换上平时穿的衣服、十分落魄低调#动画解说#国产动画#动画推荐,https://www.douyin.com/video/7303885186012417330,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/ocnJcmgfADA8UAMlAeA2QOI5bzAC2CAC9nw9X8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=X4SptgMLxWuILiFgD9UjFzDxr9A%3D,361,9,55,27
男人家中一贫如洗，家里已经穷的揭不开锅了，于是他便将家中唯一一头值钱的老牛牵到集市上去卖，可他却以非常低的价格卖掉了，等他收到牛钱后，却又四处寻找买主，想退还给买主一些钱#动画解说#国产动画#动画推荐,https://www.douyin.com/video/7303482768686714138,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/osB9nDgVEFlAG2AuICbAaCeAmWe3LAbyVgAc7n~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=ZdgocufLjbx7U9Hb9%2BJgtCnmWaM%3D,257,11,33,12
妙龄少女被人五花大绑着，即将被丢进一旁汹涌的河水中，可当地村民见状却无动于衷，而他们之所以这么做，仅仅是想把少女许配给河伯做妻子，以此来避免水灾的发生#动画解说 #国产老动画 #西门豹治邺,https://www.douyin.com/video/7301647076696411418,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/ocAaJwEgC3AfMhlqBGeaGqtUASzYACAIGAWycU~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=LJoUBr46S9mKmT7aX9BIv%2FkIFGw%3D,250,19,36,15
月下老人的传说#动画解说#怀旧动画 #动画推荐,https://www.douyin.com/video/7300532216734518579,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/ocEmdACzyCsHUslfhAAFtAE1AATQtqVgseI2By~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=a3F27cyxJmK0dtT57vKbgnq4524%3D,204,10,37,35
老先生只是在病人的手上随意按了几下，腿疼的病人却是突然大叫了起来#动画解说#国产动画#动画推荐#药王孙思邈 #中医,https://www.douyin.com/video/7299792733680553242,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oEOagpzAAIyAfBXlwCNCeYsrtFpiEwAwAhAGxE~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=qrG4sSMgRmnUh0WOnlsYoe2Uiys%3D,396,7,61,21
为了替被冤枉的父亲澄冤昭雪，女人用头部猛击鼓部，并向法官说明了父亲清廉爱民的品性，然而现在却是遭人诬害，如果不能为父亲申冤，她愿意替父受刑#国产动画#动画解说#动画推荐,https://www.douyin.com/video/7298345852077133107,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/o8bICEgIDmnASCZeOqCUBl77YAfA9AAAEDuLbH~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=O4qaRBsrR%2FVtfhhXR4QNcqjm68A%3D,262,3,35,10
