Title,Title_URL,Image,likes,comment,collect,share
#药材黄精#黄精的传说故事#科普一下#中药材,https://www.douyin.com/video/7318663170149731620,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oMAbR8wFADf9QnE2QsOAaPAbEhDAklfCgACiIk~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=AzMn0X8RL801SGbtKjCiJ8VO%2Brg%3D,161,4,44,19
#雨水#中药材#科普一下 #全民学中药,https://www.douyin.com/video/7298276034103856420,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osCt7MnXkCVb5Ie2RtljEUeDDQZeIBKHBQAAt8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=bzxbW8SXv5sW%2BTaOPS7Pi%2FeqfN0%3D,35,2,1,0
#五行与五脏#五行 #科普一下 #中医文化,https://www.douyin.com/video/7295309588834946358,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMc9vPDhEaQks8CuANSqSNgInbAf8ABJfBSliQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ICz9O%2FAK6dptlygqpFYwBtjW1Nc%3D,56,1,16,3
#养胃#科普一下 #大米养生#健脾养胃,https://www.douyin.com/video/7204409150326066469,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/8044d887490948578451441f831aa89b_1677407236~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=VUlzOHjPZ6Va5MQNXacqy8gytbY%3D,214,36,72,40
#中草药 #香薷#识百草 #科普,https://www.douyin.com/video/7199247044475686203,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/bc4873017f074eed971a99c381a678b4_1676205333~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=oGCAqMfHoxZgCbF9rvx7bpP6IlE%3D,59,3,9,5
#漏芦#科普一下 #中草药#植物 ,https://www.douyin.com/video/7149847927110782244,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/beb958e6b72145dcba752edf3d79209c~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=ty3NIBuyNutKe11LOe5X4S9MdoE%3D,89,3,15,10
#鹅不食草#故事#科普一下 #中草药 ,https://www.douyin.com/video/7116070677056081165,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/6c4884e4415b466e895d6cc91033c248_1656839324~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=QtE87HnHUF%2FiNTWw25Ntpfikcak%3D,2215,147,678,293
#科普 #大青叶#中草药 #故事,https://www.douyin.com/video/7113519403697802503,https://p3-sign.douyinpic.com/tos-cn-i-0813/478d38afe99f47c3bb74dbb50c91fd39~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=u0l2ig23GjDecf%2F8sH%2BzHlm5KV0%3D,734,32,163,61
#白术#故事#中草药#科普 ,https://www.douyin.com/video/7113145138758651173,https://p3-sign.douyinpic.com/tos-cn-i-0813/4034043011884d4fad168c9395dddc9b~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718812800&x-signature=wr5o1U8BM48CuoFDRgNEPqj8gWE%3D,1428,77,329,111
#苍耳子#故事#中药材#科普一下 #药用植物 ,https://www.douyin.com/video/7112034816928894221,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/b9abc47b4872414e97d41e697e70ad78_1655899657~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032963200&x-signature=5AxAY7mOl8We%2B47%2Fu1ZU%2BmVrXY8%3D,1947,46,455,275
