Title,Title_URL,Image,likes,comment,collect,share
十个方子九个有它，古代还有人用它来敷面。#来抖音学农技 #甘草,https://www.douyin.com/video/7182451616421842211,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUneMDdBDIMryeTAINgbuGTbR1OUB9gwtjETAA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=jSd9bqs%2Bexv3Kh4%2FdyxPXD34IGs%3D,99000,1863,7529,3315
#寻找古籍守护人 关于桃花的是你最喜欢哪一首？我首选唐寅的《桃花庵》#桃花 #桃花茶 #桃花酒,https://www.douyin.com/video/7209280317008383272,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oAEaMyrAlBkR0geCL7IAcfhABgzgqBBSHtXlkN~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=lEwtymZLtscmLY%2BJE1blT3udgoM%3D,29000,2704,14000,21000
"鱼腥草喜欢的人大快朵颐，不喜欢的人避之不及，你敢尝试吗？ #鱼腥草 #折耳根 #膜法世家鱼腥草面膜
",https://www.douyin.com/video/7243058331504479547,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/c4ba6173ddc44f789d2dface2dd13f35~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=UH5rDqWqXoQq3M7H0RVIGuwweHI%3D,25000,1417,1623,1237
谁还不曾经都是个小朋友呢？大朋友小朋友们节日快乐啊。 #第一个六一儿童节 #今天是六一儿童节 #六一谁还不是个小孩,https://www.douyin.com/video/7375365512299072778,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813/oYg17RAhMIaABAByHEtFWCfEQDDAANA6jAfPe4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=mNRCMgnJKGEWhtRvCMxkuJngJoo%3D,321,31,11,10
这种树是做硬弓的上好材料，野外上百年才能成材。#柘树 #2024中国野生生物影像年赛 #植物科普 #识本草,https://www.douyin.com/video/7373629063694535986,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okhYJqApzIej6tPZASBBQZIUefDpzEC0tGf2UL~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=W0otBP6A7CSj5HZfUbuAH5GTXjg%3D,7835,613,1616,7025
记录野生卷柏复活的奇迹，参与 #2024中国野生生物影像年赛 #短视频组 @中国野生生物影像年赛,https://www.douyin.com/video/7371720300238523686,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o0OZmAQgyADHgTAaIVCAC7kbaNFT9T2E3Ae3fA~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=VyIE8dnso8eYFqCU9RzChAT3Z7Y%3D,14000,294,3982,12000
你会用本草植物来泡茶喝吗？可能有些方法是错的。#植物科普 #金银花 #草晶华破壁草本 #草晶华,https://www.douyin.com/video/7369802545776168243,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/okBh4zJGEGMAN5ICYGozNABeY1AfAA2gAmqzIQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=OEdDjjv5XWoJdXmQQXiMHtMGvMk%3D,1064,56,81,62
除了江浙地区，还有哪些地方养蚕啊？#大美陆良 #爨乡有礼 #我为家乡代言 @爨乡有礼 @大美陆良,https://www.douyin.com/video/7370118253718408458,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4CaA6rjWetOQBeBEMDna5bqIxHjAqf2BaHC87~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=vT5%2Btdb%2FFqLHWl3dZVVeKTms3EA%3D,2668,231,270,155
牛吃了会被撑死的一种植物，人吃了会怎么样呢？#植物科普 #野菜,https://www.douyin.com/video/7368456013122374938,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oM2eNIhBQAzMYCN7ApHbAHgEzNAUfAAtlCAzQI~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=MFGHtqUuksSBp%2BTGJtntb9gC66s%3D,1431,138,135,90
桂花树的果实可以吃吗？#植物科普 #桂花树果实 #桂子 #桂花树上结的果子能吃吗,https://www.douyin.com/video/7367350189058723098,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oE9RvA17Ad8QsDfmohNeDWIPIBrbOC08CgnKA8~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=0L9zMtIy08DEZd4khMNiE8TiFuI%3D,1912,263,214,168
