Title,Title_URL,Image,likes,comment,collect,share
经常熬夜的人，可以每天来一杯葛根粉，葛根粉又称女人粉，应酬多的男士也可以试一试噢！,https://www.douyin.com/video/7307179446904048931,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i11c0dfebc1244161acdbb4f5dac74c54~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=glfGXaqzXXQ4r%2B1mDOWw%2F%2B0r8Bc%3D,15000,1249,1304,837
今天在悬崖边上找到了好多宝贝，这些你都认识吗？#植物科普 #你家乡有这种野生植物吗 #大自然的馈赠 #我的乡村生活,https://www.douyin.com/video/7376582252026793250,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i27d85a37ca3a45eda2e5e2de307ab188~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=iGhChNuzNdAkr3yMDM%2B%2FX3j%2Bkz8%3D,25000,1039,1841,769
今天来我秘密基地来搞点美食吃吃，结尾有美食成品哦#我的乡村生活#大自然的馈赠#美食分享#野菜#记录真实生活,https://www.douyin.com/video/7375837676055874854,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ide0aaf4a13b94f98bfcd39938513b3a6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=6ZaIkdjs9s4PTDIv7BW3Xzd3oRc%3D,11000,826,637,577
一起探一探峡谷里有什么宝贝#大自然的馈赠 #你的家乡有这种植物吗 #一日一植物 #中草药 #植物科普,https://www.douyin.com/video/7374755751757155634,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/ie5a349fc6d1842eba077d53ebec2c286~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=G9ZVewrLNCia0rIvT8F%2Ft1P7Oow%3D,26000,1016,2395,866
在我心中野果的天花板，不服来辩哈哈哈#大自然的馈赠#这个野果子有认识的吗#家乡野果#野果#大山里的味道,https://www.douyin.com/video/7373971379311463731,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i5d8912cc3b884cf497e0fac141081acf~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=JMjkMTYSmJMRrjPP0jKePEJm2hs%3D,25000,3382,1227,2804
这种树长满了尖刺，给人的感觉好似难以接近，但是你深入了解它之后你会发现，它全身都是宝哦#一日一植物 #药用植物 #植物科普 #我的乡村生活 #大自然的馈赠,https://www.douyin.com/video/7373598277805133094,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i07314dd4b243435c9e7dc5296f4c3479~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=NBvMH6I1%2BDi%2FN%2BPXEcKqVffgqY8%3D,16000,435,1693,1063
石斛位于九大仙草榜首，是来自大自然的馈赠，在野外遇到可不要采摘哦，野生资源越来越少啦#高山植物探秘#植物医生,https://www.douyin.com/video/7372811840281120040,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i66de7475b63240609effb35ee77fcf15~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=9qGRsnQEXlIAE06%2FEsCvMtv0ML8%3D,6860,315,657,409
采完春天最后一波野菜，就该过夏天啦，转眼回村三年，也没有觉得很枯燥无聊，真好！#大山里的味道#我的乡村生活#大自然的馈赠#野菜#美食分享@抖音小助手,https://www.douyin.com/video/7371756173080399113,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/ib3772701159e4abd8c54b641f0b0e417~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Q8cTva4Dk5lJGcPKxdsCqiPpvHg%3D,17000,918,1100,1131
这种植物根部长得形似人参，结着类似葡萄的果实，这种植物千万别乱吃哦，大人小孩都要认识一下！#中药材#植物科普#你的家乡有这种植物吗#大自然的馈赠#一日一植物,https://www.douyin.com/video/7370637528279289126,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/i96ffaf6033ff4d2ea179c8f6899c8edc~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=3e7hOMXWxSRV%2BGmg7HFV2sdVrns%3D,24000,3309,2855,3394
我的阿勒泰火啦！除了阿勒泰新疆还有大片的薰衣草花海噢！六月可以冲啦！#双抗精华#花海#薰衣草,https://www.douyin.com/video/7369489950024174886,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ia2abbcf6d12345a49f1a9dccfc7a25c3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=%2FoQ%2FUfI6qBxEjWedajlaftEy0J4%3D,27000,857,1495,1175
一口青梅酒，是历史的调味，也是百态的调味#青梅酒#与落日切尔斯#夏日必备微醺仪式感#梅见大红梅#梅见,https://www.douyin.com/video/7368869657903697152,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i2ae44cb048484295a00a1ebf35e8bd62~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=3Ld070wfB93JN7BBhc3pT%2FryDBU%3D,15000,651,753,405
幸运！！今天进山遇到了稀有的兰花，进山怕蛇的同学可以和我一样拿根棍在前面哦#大自然的馈赠 #你的家乡有这种植物 #植物科普 #一日一植物 #中草药,https://www.douyin.com/video/7368426492478377256,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ic0ec78901f354126b754556d0422dd88~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=p0eFVSlv0IJd%2BgwYSNikV0WofwA%3D,27000,1289,2119,926
春天根本就不用买菜啊，各种野菜层出不穷，今天又来找一种好吃的#春天的味道都在山上 #大山里的味道 #野菜#大自然的馈赠 #美食分享,https://www.douyin.com/video/7368032295191661874,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i0063468e2cd045c9ad146e55d79fe5fa~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=%2BSmrv04HbhwWwuGLRR3ruIYo3Js%3D,11000,421,530,282
这种开花像把牙刷，只开一半花的植物你认识吗#一日一植物,https://www.douyin.com/video/7365790242021969167,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/iad6bd281a69e4ef0b42651b17c5fae34~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=iTHL9cyHQ6Ezv5V%2BHjNTMnAgWm4%3D,42000,816,2104,915
我找到的这些中草药你们都认识吗，你们那有这种植物吗#你的家乡有这种植物吗 #大自然的馈赠 #植物科普 #中草药 #野生药材,https://www.douyin.com/video/7366549986500267304,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i544cffc5651b4d4fa57535c869f99173~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=eSlOtuJdq%2FwfwoSO8Z8iTTHVFPw%3D,27000,1395,4016,1650
它是大自然的馈赠，它也是能吃的花粉，不仅营养价值高，还能做爽身粉，它全身都是宝，你认识吗#松达#松达松花粉,https://www.douyin.com/video/7357991240522157347,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i8aa81dcda06142979e62624ac1c450b5~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=eUOUZxroJqZWIZGfxoF7oMqIHNg%3D,36000,1888,4994,4400
今天和奶奶一起上山找点野菜，在八十多岁的她面前我自愧不如哈哈#春天的味道都在山上 #大自然的馈赠 #我的乡村生活 #野菜 #春天的味道,https://www.douyin.com/video/7365066019003534632,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ibc25eb68f8984c258848aa7316e1b21f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=CgA04ELC3EOSQXthBg0IwmeS7eU%3D,28000,1439,2343,1492
五一假期到了，景区常见的水果你们看看都吃过哪几种，没吃过的我帮你们避坑#水果 #我的乡村生活 #水果自由 #吃货 #一日一植物,https://www.douyin.com/video/7363593479869451556,https://p3-sign.douyinpic.com/tos-cn-i-dy/f8b435861d5a4bdda55d71beb763dd24~noop.jpeg?biz_tag=aweme_video&from=3213915784&s=PackSourceEnum_PUBLISH&sc=optimized_cover&se=false&x-expires=1718820000&x-signature=%2FobRc8x1UcvEEtuvcjvmNi2ue8M%3D,16000,1187,1283,1804
用大自然的力量来疗愈自己吧！#大自然的馈赠 #山野自然 #你的家乡有这种植物吗 #植物科普 #春天的味道,https://www.douyin.com/video/7362468119346023730,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i0a62f99313c1431fbaf6ebb32de13d2b~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=vldtM%2FRESWFj%2F1MyuBzCkvh9OLY%3D,33000,1498,3138,1891
这些在春天常见的花花，你都认识吗#一花一草一世界 #植物科普 #路边的野花 #我的乡村生活 #春天的味道,https://www.douyin.com/video/7361730005304397094,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i165ad921c5fe4541ae27dbccb4ddf2a3~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=Zt1HHtnwvFbG6QYjuTSGTRXG1S4%3D,12000,517,1335,659
“最是那一低头的温柔”是徐志摩赠予结香的美妙，据说它不仅代表爱情，就连晚上睡觉做梦后打个结，就能梦想成真，你见过这种植物吗#植物科普 #我的乡村生活 #你的家乡也有这种植物吗 #春日赏花 #山野自然,https://www.douyin.com/video/7360616057998019874,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ief90b54e1a16442ebd8a14ae0d22ec03~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=WmMDNHT6vhrsQWTJ7oU1oCeFzh4%3D,21000,1117,2148,2291
春天最美妙的就是随便进一座山，里面都藏着未知的野菜和植物，那你心目中的野菜之王是什么呢#春天的味道 #野菜,https://www.douyin.com/video/7359810556687125814,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i236bfe6564cd48509cf0b8c3cafedbb0~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=EGqD%2FHUMGLiV4NIClLDMvLJ4MP4%3D,42000,2821,4699,3279
带大家看了三年独花兰了，也在山里待了三年，人生海海，欢迎停留，感谢停留#兰花 #你的家乡有这种植物吗 #植物科普 #大山里的原生态 #我的乡村生活,https://www.douyin.com/video/7358662106658409728,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/ied2b920464d9433f8297e119d3fcb614~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032970400&x-signature=piIiF3olHfCrb2i78VpahTKMPHI%3D,57000,6922,4186,3357
