Title,Title_URL,Image,likes,comment,collect,share
熬制乌梅汤的详细教程来啦，按这样去做口感一定不会差。#乌梅汤 #酸梅汤 #中草药 #传统文化,https://www.douyin.com/video/7375194767946190130,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/d9aed003a78744e5bf21b709e209a1f6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=p7vadlTrqdk440N2AzRknBODZrg%3D,225,32,95,22
上个覆盆子视频剪辑失误，再重新发一次。#识百草 #中药材 #药用植物 #中医 #野生药材知识,https://www.douyin.com/video/7374990247010094372,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oso4ktRrAlAiP1OA6PAOXZBwBZIPEDIwqAmig~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=4eCxzDFozkT6RNrNrxB6DsNM18w%3D,50,5,3,3
最近流量不好，总结整理时候来了灵感，教大家一个简单的锻炼动作。#中医 #中医养生 #健康,https://www.douyin.com/video/7372831253118209314,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/i9d8bf9e52e8e44d0a15e622e73863773~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=uRbMYfAuYqshFXgpxejYWRNQZF8%3D,144,13,33,29
活跃下账号，十种农村树木都有什么用？,https://www.douyin.com/video/7371337535974395151,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/397de8c083c84c3a8841de9d0f0371d6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=HX3mLaJ%2BmXNdsHDxJ5JH6vXoZ7I%3D,262,26,61,19
夏天总少不了潮湿闷热的天气，那就需要了解一下这个香薷饮了，从古走到今的一款饮料，很适合夏天。#中草药 #中药材 #美食vlog #中医药文化 #创作者伙伴计划,https://www.douyin.com/video/7371086494913531174,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/90830bde18bd485db6ea257976b41339~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=nr5gVOz2M14PfO1lq3VHgXDuRP8%3D,114,10,19,2
活跃账号记录下日常。好消息：捡到了不少皂角，坏消息：让刺扎到脚了。#中药材 #中草药   #农村生活 #随拍#记录真实生活,https://www.douyin.com/video/7370189424606350631,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/i8f50246a705344fba67c7102d208df50~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=LGo%2BziDh6Qsa3vBiKX6vZek5M80%3D,165,50,6,10
一到夏天酸梅汤的呼声就很高，毕竟很难拒绝这穿越千年的酸甜口感，今天就来做一个，一起尝尝吧～#抖音热点宝 #新农人计划2024 #酸梅汤 #中医 #中草药,https://www.douyin.com/video/7368305525911538985,https://p9-pc-sign.douyinpic.com/tos-cn-i-0813/ok9FkugQbAQBhrEeAn9m35CM6DAD8AAvZXAgfQ~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=UYSQcG4K0GByIFGrIie576MKUZ8%3D,129,30,23,12
街上的各种奶茶店是不是已经喝腻了？ 这个夏天要不要和我一起尝一尝我们祖先喝过的茶饮？今天就先做一个千年前的爆款紫苏饮。#中药材 #养生 #紫苏饮 #传统文化 #古法美食,https://www.douyin.com/video/7366101730427178266,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/cc67c9938b334b7e985a53ffb6f0b4ae~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=1aZcRFZgTTLNJhcSWWB83HHaAI0%3D,156,32,28,10
二十种公园里的药用花木，你认识几种呢？快去看看你那里的公园有 没有这些。#中草药#中药材  #植物科普 #药用植物 #创作者伙伴计划,https://www.douyin.com/video/7358784009171766568,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/7812f62419ca469f97219a65740566a0~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=caASo%2F%2BqX9gVJgiGH9yi3t5iTLs%3D,4010,662,1902,678
容易混淆的夏至草益母草，还有荆芥和藿香，这次简短快速地把它们特征说清楚。#中药材 #中草药 #中草药知识#识百草  #创作者伙伴计划,https://www.douyin.com/video/7356956647568264486,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/1fbb63cb955440f1be507ec71510e9e9~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032966800&x-signature=XmPpvbNEUE%2BxWhhcU0AtSyI3BPc%3D,1213,83,566,115
