Title,Title_URL,Image,Likes,likes,comment,collect,share
他花费20万耗时15天复刻了三星堆黄金面具，连央妈都为其点赞!#传统手艺 #复刻 #黄金面具 #高手在民间 ,https://www.douyin.com/video/7349126838301576458,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/bb913e66616a4cddaabf83dccec7072f~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=C6n51wOAHIHl3N0q4Mcd4ihUp4w%3D,50.7万,514000,6257,57000,25000
用鱼皮做衣服？看似天方夜谭，却是赫哲族延续千年的传统手艺 #非遗传承 #鱼皮衣 #赫哲族 #纪录片解说,https://www.douyin.com/video/7370294141483273507,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/0e1fd6469f1a48ad9c28538cf9a38645~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=a%2BCS0jzwZGvIS1OfK2sZ7qWSUCE%3D,4.2万,43000,1949,4342,13000
“樟帮”作为中药炮制四大流派之一，其刀工绝技机器也得甘拜下风#非遗传承 #樟帮 #中药 #炮制 #纪录片解说 ,https://www.douyin.com/video/7343978405299358987,https://p3-pc-sign.douyinpic.com/tos-cn-i-pk90l89vgd/0e5d10d394b54c58bb5c8e0f3d0bab22~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=oJaTwi5UCiN7xChWnPo01ywf4ys%3D,10.3万,103000,1823,5959,6528
3名老人把房子抬起来并移动，这样的老手艺你见过吗？ #传统手艺 #移房子 #手艺人 #纪录片,https://www.douyin.com/video/7376986561507872050,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/4fe370d9ae3d43abadb9b731ec1e4eb4~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=AdthrnrhT%2Fye0DJoIwMKhV1VibA%3D,376,2194,58,415,192
不起眼的丝瓜络，经过小姐姐的巧手后身价直接翻倍 #传统手艺 #丝瓜络扇子 #手艺人 #纪录片解说,https://www.douyin.com/video/7376595253974945062,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/9928ea36ebf646869deeef4d70c3cff6~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=6CNSnqgUU0CAZQA4fq3FPdqXE4M%3D,1097,2065,118,346,315
小姐姐用不起眼的牛骨，居然复刻出了故宫博物馆里的那件宝贝 #传统手艺 #竹编 #扇子 #复刻 #手艺人,https://www.douyin.com/video/7376219392096357682,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/179c76264f474c388ad0b5c269315f23~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=rdwU%2Ftn7oARKgAhpDqM2BAUtVT4%3D,1993,2492,49,413,231
男人身价千万却一贫如洗，只因每年都要捐赠价值几十万的佛像 #非遗传承 #锻铜 #传统手艺 #纪录片解说,https://www.douyin.com/video/7375849268227149083,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/5eb6ae9435eb4069997e2c4c6e6dcd59~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=ENW5%2Fv%2FcHNzVFF%2FEGkEdAvxTWeE%3D,5115,7176,256,629,294
为了得到这坨液体黄金，几个壮汉都差点累趴下 #传统手艺 #打酥油 #酥油茶 #美食 #纪录片解说,https://www.douyin.com/video/7375113853069282611,https://p9-pc-sign.douyinpic.com/tos-cn-i-dy/f82eec678f7842939b68b7e41ac176f0~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=ZjMh%2BAm1ouUThDZ5plB9%2BGHsmqc%3D,568,606,39,111,35
牧民挖石头给山羊吃，这是什么操作？ #传统美食 #温宿 #烤全羊 #纪录片解说 #风物,https://www.douyin.com/video/7374743605359021324,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/f7c012ddea00474582e028f12d3fcd66~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=5UlVBs30mhBnYeq7t0NUOTysFDc%3D,960,1042,22,352,54
作为唯一可以吃的国家一级保护植物，你千万不能随意采摘 #传统手艺 #莼菜  #纪录片解说 #涨知识,https://www.douyin.com/video/7374372863182261516,https://p3-pc-sign.douyinpic.com/tos-cn-i-dy/3f5f1d435f5245bfbb1b97d93fa54f5e~tplv-dy-cropcenter:323:430.jpeg?biz_tag=pcweb_cover&from=3213915784&s=PackSourceEnum_PUBLISH&sc=cover&se=true&sh=323_430&x-expires=2032959600&x-signature=8ULv8dTmfMS9%2F1eQb4CgBc0iTh4%3D,1127,1160,71,233,137
